studlab,nct,treat1,treat2,scale,effect_native,lci_native,uci_native,te_for_netmeta,seTE_for_netmeta
VIEW-1,NCT00509795,Aflibercept_2mg,Ranibizumab,MD,0.5,-1.1,2.1,0.5,0.8163265306
VIEW-2,NCT00637377,Aflibercept_2mg,Ranibizumab,MD,0.6,-1.1,2.3,0.6,0.8673469388
TENAYA,NCT03823287,Faricimab,Aflibercept_2mg,MD,0.7,-0.65,2.05,0.7,0.6887755102
LUCERNE,NCT03823300,Faricimab,Aflibercept_2mg,MD,0.5,-0.85,1.85,0.5,0.6887755102
PULSAR,NCT04964089,Aflibercept_8mg,Aflibercept_2mg,MD,1.0,-0.4,2.5,1.0,0.7397959184
HAWK,NCT02307682,Brolucizumab,Aflibercept_2mg,MD,-0.2,-1.5,1.1,-0.2,0.6632653061
HARRIER,NCT02434328,Brolucizumab,Aflibercept_2mg,MD,0.7,-0.6,2.0,0.7,0.6632653061
