studlab,nct,treat1,treat2,scale,effect_native,lci_native,uci_native,te_for_netmeta,seTE_for_netmeta
ORAL-Standard,NCT00853385,Tofacitinib,Placebo,OR,2.67,1.6,4.45,0.9820784724,0.2609439967
RA-BEAM,NCT01710358,Baricitinib,Placebo,OR,3.51,2.69,4.58,1.2556160375,0.135754542
SELECT-Compare,NCT02629159,Upadacitinib,Placebo,OR,4.36,3.45,5.5,1.4724720574,0.1189729238
FINCH-1,NCT02889796,Filgotinib,Placebo,OR,3.34,2.53,4.42,1.205970807,0.142326631
FINCH-1 (Ada arm),NCT02889796B,Adalimumab,Placebo,OR,2.45,1.82,3.3,0.8960880246,0.1518076447
