review,nct,method,detail
COLCHICINE_CVD_REVIEW,ACTRN-LODOCO2,M03,invalid NCT format: 'ACTRN-LODOCO2'
COLCHICINE_CVD_REVIEW,ACTRN-COPS,M03,invalid NCT format: 'ACTRN-COPS'
LIVER_TRANSPLANT_HCV_NMA_REVIEW,NULLED:NCT04449003b,M03,invalid NCT format: 'NULLED:NCT04449003b'
COVID19_VACCINES_REVIEW,NULLED:NCT04530396,M06,baseline.n=21977/tN+cN=19866 ratio=1.11
IBD_BIOLOGICS_REVIEW,NCT03518086,M06,baseline.n=1281/tN+cN=1162 ratio=1.10
ABLATION_AF_REVIEW,NCT00911508,M10,"cross-review divergence vs CRYO_AF_ABLATION_NMA_REVIEW: (89, 1108, 101, 1096, 0.86) vs (None, None, None, None, 1.27)"
ACORAMIDIS_ATTR_CM_REVIEW,NCT03860935,M10,"cross-review divergence vs ATTR_CM_REVIEW: (None, 421, None, 211, 0.78) vs (79, 409, 52, 202, 0.72)"
ADJUVANT_IO_MELANOMA_REVIEW,NCT02388906,M10,"cross-review divergence vs ADJUVANT_IO_PAN_TUMOR_REVIEW: (None, 453, None, 453, 0.65) vs (None, 453, None, 453, 0.71)"
ADJUVANT_IO_MELANOMA_REVIEW,NCT01682083,M10,"cross-review divergence vs CHECKPOINT_MELANOMA_1L_REVIEW: (166, 438, 248, 432, 0.47) vs (166, 438, 248, 432, 0.49)"
ADJUVANT_IO_PAN_TUMOR_REVIEW,NCT02486718,M10,"cross-review divergence vs NSCLC_PERIOP_IO_NMA_REVIEW: (None, 507, None, 498, 0.66) vs (None, 507, None, 498, 0.79)"
ADJUVANT_IO_PAN_TUMOR_REVIEW,NCT02388906,M10,"cross-review divergence vs ADJUVANT_IO_MELANOMA_REVIEW: (None, 453, None, 453, 0.71) vs (None, 453, None, 453, 0.65)"
AFLIBERCEPT_HD_REVIEW,NCT04423718,M10,"cross-review divergence vs ANTIVEGF_NAMD_NMA_REVIEW: (None, 335, None, 336, None) vs (0, 335, 0, 336, 1.0)"
AML_TARGETED_NEW_REVIEW,NCT03069352,M10,"cross-review divergence vs VENETOCLAX_AML_REVIEW: (None, 143, None, 68, 0.75) vs (None, 143, None, 68, 0.7)"
AML_TARGETED_NEW_REVIEW,NCT03173248,M10,"cross-review divergence vs AML_VEN_FLT3_NMA_REVIEW: (24, 72, 56, 74, 0.44) vs (28, 72, 46, 74, 0.44)"
AML_TARGETED_NEW_REVIEW,NCT00651261,M10,"cross-review divergence vs AML_VEN_FLT3_NMA_REVIEW: (None, 360, None, 357, 0.78) vs (None, 360, None, 357, None)"
AML_TARGETED_NEW_REVIEW,NCT01757535,M10,"cross-review divergence vs AML_VEN_FLT3_NMA_REVIEW: (98, 238, 132, 234, 0.69) vs (100, 238, 145, 234, 0.69)"
AML_VEN_FLT3_NMA_REVIEW,NCT03069352,M10,"cross-review divergence vs VENETOCLAX_AML_REVIEW: (None, 143, None, 68, 0.75) vs (None, 143, None, 68, 0.7)"
AML_VEN_FLT3_NMA_REVIEW,NCT00651261,M10,"cross-review divergence vs AML_TARGETED_NEW_REVIEW: (None, 360, None, 357, None) vs (None, 360, None, 357, 0.78)"
AML_VEN_FLT3_NMA_REVIEW,NCT03173248,M10,"cross-review divergence vs AML_TARGETED_NEW_REVIEW: (28, 72, 46, 74, 0.44) vs (24, 72, 56, 74, 0.44)"
AML_VEN_FLT3_NMA_REVIEW,NCT01757535,M10,"cross-review divergence vs AML_TARGETED_NEW_REVIEW: (100, 238, 145, 234, 0.69) vs (98, 238, 132, 234, 0.69)"
ANIFROLUMAB_SLE_REVIEW,NCT02446912,M10,"cross-review divergence vs LUPUS_NEW_BIOLOGICS_REVIEW: (None, 180, None, 184, 1.55) vs (90, 180, 80, 184, 1.15)"
ANIFROLUMAB_SLE_REVIEW,NCT02446899,M10,"cross-review divergence vs LUPUS_NEW_BIOLOGICS_REVIEW: (86, 180, 57, 182, 1.99) vs (86, 180, 57, 182, 1.52)"
ANTIAMYLOID_AD_NMA_REVIEW,NCT04437511,M10,"cross-review divergence vs DONANEMAB_AD_SOLO_REVIEW: (0, 860, 0, 876, -0.7) vs (None, 860, None, 876, 0.84)"
ANTIVEGF_NAMD_NMA_REVIEW,NCT03823287,M10,"cross-review divergence vs FARICIMAB_NAMD_REVIEW: (0, 334, 0, 337, 0.7) vs (None, 334, None, 337, None)"
ANTIVEGF_NAMD_NMA_REVIEW,NCT03823300,M10,"cross-review divergence vs FARICIMAB_NAMD_REVIEW: (0, 331, 0, 327, 0.5) vs (None, 331, None, 327, None)"
ANTIVEGF_NAMD_NMA_REVIEW,NCT04423718,M10,"cross-review divergence vs AFLIBERCEPT_HD_REVIEW: (0, 335, 0, 336, 1.0) vs (None, 335, None, 336, None)"
ANTI_CD20_MS_REVIEW,NCT01247324,M10,"cross-review divergence vs MS_ANTI_CD20_NMA_REVIEW: (None, 410, None, 411, 0.54) vs (None, 410, None, 411, 0.6)"
ANTI_CD20_MS_REVIEW,NCT01412333,M10,"cross-review divergence vs MS_ANTI_CD20_NMA_REVIEW: (None, 417, None, 418, 0.53) vs (None, 417, None, 418, 0.61)"
ANTI_CD20_MS_REVIEW,NCT02792218,M10,"cross-review divergence vs HIGH_EFFICACY_MS_REVIEW: (None, 465, None, 462, 0.49) vs (None, 465, None, 481, 0.49)"
ANTI_CD20_MS_REVIEW,NCT02792231,M10,"cross-review divergence vs HIGH_EFFICACY_MS_REVIEW: (None, 481, None, 474, 0.42) vs (None, 481, None, 474, 0.51)"
ANTI_CD20_MS_REVIEW,NCT03277261,M10,"cross-review divergence vs MS_ANTI_CD20_NMA_REVIEW: (None, 274, None, 275, 0.41) vs (None, 274, None, 275, 0.51)"
ANTI_CD20_MS_REVIEW,NCT03277248,M10,"cross-review divergence vs MS_ANTI_CD20_NMA_REVIEW: (None, 272, None, 272, 0.41) vs (None, 272, None, 273, 0.55)"
ANTI_PD1_GASTRIC_REVIEW,NCT02872116,M10,"cross-review divergence vs GASTRIC_FRONTLINE_IO_NMA_REVIEW: (None, 789, None, 792, 0.71) vs (None, 789, None, 792, 0.8)"
ANTI_PD1_GASTRIC_REVIEW,NCT03653507,M10,"cross-review divergence vs ZOLBETUXIMAB_GASTRIC_REVIEW: (None, 254, None, 253, 0.77) vs (0, 254, 0, 253, 0.69)"
ANTI_PDL1_BLADDER_REVIEW,NCT02853305,M10,"cross-review divergence vs BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW: (None, 351, None, 352, 0.86) vs (103, 370, 0, 0, None)"
ANTI_PDL1_BLADDER_REVIEW,NCT02603432,M10,"cross-review divergence vs BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW: (145, 350, 179, 350, 0.69) vs (142, 350, 192, 350, 0.69)"
ANTI_PDL1_BLADDER_REVIEW,NCT04223856,M10,"cross-review divergence vs BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW: (119, 442, 196, 444, 0.47) vs (215, 442, 295, 444, 0.47)"
ARNI_HF_REVIEW,NCT03988634,M10,"cross-review divergence vs HFpEF_DRUGS_NMA_REVIEW: (None, 233, None, 233, None) vs (36, 233, 51, 233, 0.85)"
ARPI_NMCRPC_REVIEW,NCT01946204,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (184, 806, 194, 401, 0.28) vs (None, None, None, None, 0.63)"
ARPI_mHSPC_REVIEW,NCT02677896,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (None, 574, None, 576, 0.66) vs (None, 574, None, 576, 0.39)"
ARPI_mHSPC_REVIEW,NCT02446405,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (102, 562, 143, 563, 0.67) vs (102, 563, 143, 562, 0.67)"
ARPI_mHSPC_REVIEW,NCT02489318,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (170, 525, 235, 527, 0.65) vs (192, 492, 247, 490, 0.66)"
ARPI_mHSPC_REVIEW,NCT02799602,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (229, 651, 304, 654, 0.68) vs (229, 651, 304, 655, 0.68)"
ARPI_mHSPC_REVIEW,NCT01715285,M10,"cross-review divergence vs PROSTATE_AR_NEXT_GEN_REVIEW: (275, 597, 365, 602, 0.66) vs (169, 597, 237, 602, 0.66)"
ATOPIC_DERM_NMA_REVIEW,NCT02277743,M10,"cross-review divergence vs DUPILUMAB_AD_REVIEW: (None, 224, None, 224, 6.4) vs (None, 224, None, 224, 5.68)"
ATOPIC_DERM_NMA_REVIEW,NCT04146363,M10,"cross-review divergence vs LEBRIKIZUMAB_AD_REVIEW: (None, 283, None, 141, 7.4) vs (None, None, None, None, 3.38)"
ATOPIC_DERM_NMA_REVIEW,NCT03569293,M10,"cross-review divergence vs JAKI_AD_REVIEW: (None, 281, None, 141, 11.74) vs (None, 281, None, 281, 7.43)"
ATTR_CM_REVIEW,NCT03860935,M10,"cross-review divergence vs ACORAMIDIS_ATTR_CM_REVIEW: (79, 409, 52, 202, 0.72) vs (None, 421, None, 211, 0.78)"
ATTR_CM_REVIEW,NCT03997383,M10,"cross-review divergence vs RNA_INTERFERENCE_BROAD_NMA_REVIEW: (None, 181, None, 179, 0.99) vs (None, None, None, None, -16.0)"
ATTR_PN_REVIEW,NCT01960348,M10,"cross-review divergence vs PATISIRAN_POLYNEUROPATHY_REVIEW: (None, 148, None, 77, -34.0) vs (None, 148, None, 77, None)"
ATTR_PN_REVIEW,NCT03759379,M10,"cross-review divergence vs PATISIRAN_POLYNEUROPATHY_REVIEW: (None, 122, None, 77, -17.0) vs (None, 122, None, 77, None)"
AVACINCAPTAD_GA_REVIEW,NCT02686658,M10,"cross-review divergence vs DRY_AMD_GA_BROAD_NMA_REVIEW: (None, 67, None, 110, None) vs (None, None, None, None, -0.34)"
AVACINCAPTAD_GA_REVIEW,NCT04435366,M10,"cross-review divergence vs DRY_AMD_GA_BROAD_NMA_REVIEW: (None, 225, None, 223, None) vs (None, None, None, None, -0.34)"
AXSPA_BIOLOGICS_REVIEW,NCT02696785,M10,"cross-review divergence vs SPONDYLOARTHRITIS_REVIEW: (39, 98, 14, 104, 2.96) vs (None, 116, None, 117, 2.15)"
AXSPA_BIOLOGICS_REVIEW,NCT03928743,M10,"cross-review divergence vs SPONDYLOARTHRITIS_REVIEW: (None, None, None, None, 1.97) vs (None, None, None, None, 1.21)"
AXSPA_BIOLOGICS_REVIEW,NCT03928704,M10,"cross-review divergence vs SPONDYLOARTHRITIS_REVIEW: (91, 221, 25, 111, 1.83) vs (None, 254, None, 132, 1.27)"
AXSPA_BIOLOGICS_REVIEW,NCT04169373,M10,"cross-review divergence vs SPONDYLOARTHRITIS_REVIEW: (None, 211, None, 209, 1.7) vs (None, 211, None, 209, 3.06)"
BELIMUMAB_SLE_REVIEW,NCT00424476,M10,"cross-review divergence vs LUPUS_NEW_BIOLOGICS_REVIEW: (None, 205, None, 213, 1.32) vs (None, 537, None, 282, 1.3)"
BELIMUMAB_SLE_REVIEW,NCT01639339,M10,"cross-review divergence vs GLOMERULONEPHRITIS_BIOLOGICS_REVIEW: (96, 223, 72, 223, 1.34) vs (96, 224, 64, 224, 1.5)"
