review,nct,method,detail
BIMEKIZUMAB_PSORIASIS_REVIEW,NCT03370133,M10,"cross-review divergence vs IL_PSORIASIS_NMA_REVIEW: (273, 321, 4, 83, 17.62) vs (273, 321, 5, 83, 88.6)"
BIMEKIZUMAB_PSORIASIS_REVIEW,NCT03410992,M10,"cross-review divergence vs IL_PSORIASIS_NMA_REVIEW: (273, 349, 1, 86, 67.27) vs (318, 349, 1, 86, 871.9)"
BIMEKIZUMAB_PSORIASIS_REVIEW,NCT03412747,M10,"cross-review divergence vs IL_PSORIASIS_NMA_REVIEW: (275, 319, 75, 159, 1.83) vs (263, 319, 86, 159, 3.99)"
BIOLOGIC_ASTHMA_REVIEW,NCT01691521,M10,"cross-review divergence vs SEVERE_ASTHMA_BIOLOGICS_REVIEW: (None, 385, None, 191, 0.53) vs (None, 388, None, 191, 0.47)"
BIOLOGIC_ASTHMA_REVIEW,NCT01914757,M10,"cross-review divergence vs SEVERE_ASTHMA_BIOLOGICS_REVIEW: (None, 239, None, 248, 0.72) vs (133, 425, 192, 440, 0.72)"
BIOLOGIC_ASTHMA_REVIEW,NCT02414854,M10,"cross-review divergence vs SEVERE_ASTHMA_BIOLOGICS_REVIEW: (None, 631, None, 321, 0.52) vs (None, 631, None, 313, 0.52)"
BIOLOGIC_ASTHMA_REVIEW,NCT03347279,M10,"cross-review divergence vs SEVERE_ASTHMA_BIOLOGICS_REVIEW: (None, 528, None, 531, 0.44) vs (144, 528, 250, 531, 0.44)"
BISPECIFIC_LYMPHOMA_NMA_REVIEW,NCT02500407,M10,"cross-review divergence vs LYMPHOMA_BISPECIFIC_CD20_REVIEW: (54, 90, 0, 0, None) vs (71, 90, 0, 0, None)"
BISPECIFIC_LYMPHOMA_NMA_REVIEW,NCT03075696,M10,"cross-review divergence vs LYMPHOMA_BISPECIFIC_CD20_REVIEW: (80, 154, 0, 0, None) vs (80, 155, 0, 0, None)"
BISPECIFIC_LYMPHOMA_NMA_REVIEW,NCT03625037,M10,"cross-review divergence vs LYMPHOMA_BISPECIFIC_CD20_REVIEW: (100, 157, 0, 0, None) vs (99, 157, 0, 0, None)"
BISPECIFIC_LYMPHOMA_NMA_REVIEW,NCT03888105,M10,"cross-review divergence vs LYMPHOMA_BISPECIFIC_CD20_REVIEW: (75, 140, 0, 0, None) vs (100, 200, 0, 0, None)"
BISPECIFIC_LYMPHOMA_NMA_REVIEW,NCT04408638,M10,"cross-review divergence vs LYMPHOMA_BISPECIFIC_CD20_REVIEW: (90, 150, 0, 0, None) vs (72, 137, 50, 137, None)"
BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,NCT04223856,M10,"cross-review divergence vs ANTI_PDL1_BLADDER_REVIEW: (215, 442, 295, 444, 0.47) vs (119, 442, 196, 444, 0.47)"
BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,NCT02853305,M10,"cross-review divergence vs ANTI_PDL1_BLADDER_REVIEW: (103, 370, 0, 0, None) vs (None, 351, None, 352, 0.86)"
BLADDER_UROTHEL_FRONTLINE_IO_NMA_REVIEW,NCT02603432,M10,"cross-review divergence vs ANTI_PDL1_BLADDER_REVIEW: (142, 350, 192, 350, 0.69) vs (145, 350, 179, 350, 0.69)"
BPAL_MDRTB_REVIEW,NCT02589782,M10,"cross-review divergence vs MDRTB_BPAL_REVIEW: (123, 138, 60, 113, 1.68) vs (15, 138, 66, 137, None)"
CAB_PREP_HIV_REVIEW,NCT02720094,M10,"cross-review divergence vs HIV_LA_PREP_REVIEW: (13, 2282, 39, 2284, 0.34) vs (12, 2283, 39, 2283, 0.34)"
CAPIVASERTIB_BC_REVIEW,NCT04305496,M10,"cross-review divergence vs PI3K_AKT_BC_REVIEW: (0, 355, 0, 353, 0.6) vs (None, 355, None, 353, 0.6)"
CARBAPENEM_RESISTANT_ABX_REVIEW,NULLED:NCT02168946,M10,"cross-review divergence vs HAP_VAP_NEW_ABX_NMA_REVIEW: (189, 274, 171, 276, 1.11) vs (None, None, None, None, 0.77)"
CARDIORENAL_DKD_NMA_REVIEW,NCT02540993,M10,"cross-review divergence vs FINERENONE_REVIEW: (504, 2833, 600, 2841, 0.82) vs (367, 2833, 420, 2841, 0.86)"
CART_B_CELL_LYMPHOMA_REVIEW,NCT02445248,M10,"cross-review divergence vs CAR_T_LBCL_BROAD_NMA_REVIEW: (49, 93, 0, 0, None) vs (50, 93, 0, 0, None)"
CART_B_CELL_LYMPHOMA_REVIEW,NCT03570892,M10,"cross-review divergence vs CAR_T_LBCL_BROAD_NMA_REVIEW: (130, 162, 121, 160, 1.07) vs (105, 162, 95, 160, 1.07)"
CART_B_CELL_LYMPHOMA_REVIEW,NCT02631044,M10,"cross-review divergence vs CAR_T_LBCL_BROAD_NMA_REVIEW: (199, 269, 0, 0, None) vs (186, 256, 0, 0, None)"
CART_DLBCL_REVIEW,NCT03570892,M10,"cross-review divergence vs CAR_T_LBCL_BROAD_NMA_REVIEW: (94, 162, 95, 160, 1.07) vs (105, 162, 95, 160, 1.07)"
CAR_T_LBCL_BROAD_NMA_REVIEW,NCT02445248,M10,"cross-review divergence vs CART_B_CELL_LYMPHOMA_REVIEW: (50, 93, 0, 0, None) vs (49, 93, 0, 0, None)"
CAR_T_LBCL_BROAD_NMA_REVIEW,NCT02631044,M10,"cross-review divergence vs CART_B_CELL_LYMPHOMA_REVIEW: (186, 256, 0, 0, None) vs (199, 269, 0, 0, None)"
CAR_T_LBCL_BROAD_NMA_REVIEW,NCT03570892,M10,"cross-review divergence vs CART_B_CELL_LYMPHOMA_REVIEW: (105, 162, 95, 160, 1.07) vs (130, 162, 121, 160, 1.07)"
CBD_SEIZURE_REVIEW,NCT02224560,M10,"cross-review divergence vs EPILEPSY_NEW_AGENTS_NMA_REVIEW: (30, 76, 11, 73, 2.66) vs (None, 58, None, 29, 4.75)"
CD_BIOLOGICS_NMA_REVIEW,NCT01369329,M10,"cross-review divergence vs IBD_BIOLOGICS_REVIEW: (67, 249, 37, 247, 1.5) vs (86, 247, 51, 247, 1.69)"
CD_BIOLOGICS_NMA_REVIEW,NCT03105128,M10,"cross-review divergence vs IBD_BIOLOGICS_REVIEW: (None, 372, None, 175, 1.82) vs (None, 207, None, 204, 2.69)"
CD_BIOLOGICS_NMA_REVIEW,NCT03345849,M10,"cross-review divergence vs UPADACITINIB_CD_REVIEW: (None, 306, None, 177, 4.69) vs (None, None, None, None, 2.29)"
CFTR_CF_REVIEW,NULLED:NCT03525444,M10,"cross-review divergence vs CFTR_MODULATORS_NMA_REVIEW: (None, 200, None, 203, None) vs (0, 200, 0, 203, 13.8)"
CFTR_MODULATORS_NMA_REVIEW,NULLED:NCT03525444,M10,"cross-review divergence vs CFTR_CF_REVIEW: (0, 200, 0, 203, 13.8) vs (None, 200, None, 203, None)"
CGRP_MIGRAINE_NMA_REVIEW,NCT02456740,M10,"cross-review divergence vs CGRP_MIGRAINE_PREVENT_REVIEW: (0, 319, 0, 316, -3.7) vs (None, 318, None, 319, 2.04)"
CGRP_MIGRAINE_NMA_REVIEW,NCT02629861,M10,"cross-review divergence vs CGRP_MIGRAINE_PREVENT_REVIEW: (0, 290, 0, 294, -1.3) vs (134, 290, 81, 294, 1.68)"
CGRP_MIGRAINE_NMA_REVIEW,NCT02614183,M10,"cross-review divergence vs CGRP_MIGRAINE_PREVENT_REVIEW: (0, 213, 0, 425, -1.9) vs (None, 213, None, 425, 4.61)"
CGRP_MIGRAINE_NMA_REVIEW,NCT02559895,M10,"cross-review divergence vs CGRP_MIGRAINE_PREVENT_REVIEW: (0, 222, 0, 222, -0.69) vs (129, 223, 85, 222, 1.51)"
CGRP_MIGRAINE_PREVENT_REVIEW,NCT02456740,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (None, 318, None, 319, 2.04) vs (0, 319, 0, 316, -3.7)"
CGRP_MIGRAINE_PREVENT_REVIEW,NCT02629861,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (134, 290, 81, 294, 1.68) vs (0, 290, 0, 294, -1.3)"
CGRP_MIGRAINE_PREVENT_REVIEW,NCT02614183,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (None, 213, None, 425, 4.61) vs (0, 213, 0, 425, -1.9)"
CGRP_MIGRAINE_PREVENT_REVIEW,NCT02559895,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (129, 223, 85, 222, 1.51) vs (0, 222, 0, 222, -0.69)"
CGRP_MIGRAINE_REVIEW,NCT02456740,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (None, 637, None, 316, None) vs (0, 319, 0, 316, -3.7)"
CGRP_MIGRAINE_REVIEW,NCT02614183,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (None, 425, None, 433, None) vs (0, 213, 0, 425, -1.9)"
CGRP_MIGRAINE_REVIEW,NCT02629861,M10,"cross-review divergence vs CGRP_MIGRAINE_NMA_REVIEW: (None, 581, None, 294, None) vs (0, 290, 0, 294, -1.3)"
CHECKPOINT_MELANOMA_1L_REVIEW,NCT02388906,M10,"cross-review divergence vs ADJUVANT_IO_MELANOMA_REVIEW: (None, 453, None, 453, 0.71) vs (None, 453, None, 453, 0.65)"
CHECKPOINT_MELANOMA_1L_REVIEW,NCT01682083,M10,"cross-review divergence vs ADJUVANT_IO_MELANOMA_REVIEW: (166, 438, 248, 432, 0.49) vs (166, 438, 248, 432, 0.47)"
CHOLANGIO_TARGETED_NMA_REVIEW,NCT02924376,M10,"cross-review divergence vs FGFR_INHIBITORS_SOLID_REVIEW: (51, 107, 0, 0, None) vs (38, 107, 0, 0, None)"
COMPLEMENT_C5_BROAD_NMA_REVIEW,NCT03056040,M10,"cross-review divergence vs PNH_NEW_COMPLEMENT_REVIEW: (None, None, None, None, 1.12) vs (None, None, None, None, 1.02)"
COMPLEMENT_C5_BROAD_NMA_REVIEW,NCT01997229,M10,"cross-review divergence vs MYASTHENIA_GRAVIS_BIOLOGICS_REVIEW: (22, 62, 38, 63, 0.59) vs (22, 62, 9, 63, 2.49)"
COMPLEMENT_C5_BROAD_NMA_REVIEW,NCT03920293,M10,"cross-review divergence vs MYASTHENIA_GRAVIS_BIOLOGICS_REVIEW: (None, None, None, None, -2.25) vs (None, 86, None, 89, 1.92)"
COPD_BIOLOGICS_BROAD_REVIEW,NCT04456673,M10,"cross-review divergence vs DUPILUMAB_COPD_REVIEW: (None, 470, None, 465, 0.66) vs (None, 468, None, 467, 0.66)"
COPD_TRIPLE_REVIEW,NCT02164513,M10,"cross-review divergence vs TRIPLE_THERAPY_COPD_REVIEW: (None, 4151, None, 4134, 0.75) vs (None, 4151, None, 4134, 0.85)"
COPD_TRIPLE_REVIEW,NCT02497001,M10,"cross-review divergence vs TRIPLE_THERAPY_COPD_REVIEW: (385, 639, 619, 625, 0.52) vs (184, 639, 232, 627, 0.75)"
COVID19_HOSPITALIZED_TX_REVIEW,NCT04575597,M10,"cross-review divergence vs COVID_ORAL_ANTIVIRALS_REVIEW: (2, 279, 15, 283, 0.13) vs (48, 709, 68, 699, 0.69)"
COVID_ORAL_ANTIVIRALS_REVIEW,NCT04575597,M10,"cross-review divergence vs COVID19_HOSPITALIZED_TX_REVIEW: (48, 709, 68, 699, 0.69) vs (2, 279, 15, 283, 0.13)"
CRSWNP_BIOLOGIC_NMA_REVIEW,NCT02912468,M10,"cross-review divergence vs EOSINOPHILIC_DISEASES_BROAD_REVIEW: (None, None, None, None, -2.06) vs (None, None, None, None, 2.16)"
CRSWNP_BIOLOGIC_NMA_REVIEW,NCT02898454,M10,"cross-review divergence vs EOSINOPHILIC_DISEASES_BROAD_REVIEW: (None, None, None, None, -1.8) vs (None, 143, None, 133, 1.81)"
CRSWNP_BIOLOGIC_NMA_REVIEW,NCT03085797,M10,"cross-review divergence vs EOSINOPHILIC_DISEASES_BROAD_REVIEW: (None, None, None, None, -0.73) vs (None, 206, None, 201, 2.32)"
CRYO_AF_ABLATION_NMA_REVIEW,NCT00911508,M10,"cross-review divergence vs ABLATION_AF_REVIEW: (None, None, None, None, 1.27) vs (89, 1108, 101, 1096, 0.86)"
DELANDISTROGENE_DMD_REVIEW,NCT05096221,M10,"cross-review divergence vs DUCHENNE_GENE_THERAPY_REVIEW: (None, 64, None, 61, None) vs (None, 63, None, 62, 1.61)"
DEPRESSION_NEW_RAPID_REVIEW,NCT02422186,M10,"cross-review divergence vs ESKETAMINE_TRD_REVIEW: (23, 72, 11, 66, 1.92) vs (None, 72, None, 65, None)"
DEPRESSION_NEW_RAPID_REVIEW,NCT03775200,M10,"cross-review divergence vs DEPRESSION_PSYCHEDELIC_NMA_REVIEW: (14, 14, 8, 13, 1.97) vs (None, None, None, None, -6.6)"
DEPRESSION_PSYCHEDELIC_NMA_REVIEW,NCT03775200,M10,"cross-review divergence vs DEPRESSION_NEW_RAPID_REVIEW: (None, None, None, None, -6.6) vs (14, 14, 8, 13, 1.97)"
DOAC_AF_NMA_REVIEW,NCT00781391,M10,"cross-review divergence vs DOAC_AF_REVIEW: (182, 7035, 232, 7036, 0.79) vs (296, 7035, 337, 7036, 0.79)"
DOAC_AF_REVIEW,NCT00781391,M10,"cross-review divergence vs DOAC_AF_NMA_REVIEW: (296, 7035, 337, 7036, 0.79) vs (182, 7035, 232, 7036, 0.79)"
DOLUTEGRAVIR_ART_SSA_REVIEW,NULLED:NCT03122262,M10,"cross-review divergence vs HIV_ART_FIRSTLINE_REVIEW: (285, 351, 257, 351, 1.11) vs (310, 351, 282, 351, 1.1)"
DONANEMAB_AD_SOLO_REVIEW,NCT04437511,M10,"cross-review divergence vs ANTIAMYLOID_AD_NMA_REVIEW: (None, 860, None, 876, 0.84) vs (0, 860, 0, 876, -0.7)"
DRY_AMD_GA_BROAD_NMA_REVIEW,NCT02686658,M10,"cross-review divergence vs AVACINCAPTAD_GA_REVIEW: (None, None, None, None, -0.34) vs (None, 67, None, 110, None)"
DRY_AMD_GA_BROAD_NMA_REVIEW,NCT04435366,M10,"cross-review divergence vs AVACINCAPTAD_GA_REVIEW: (None, None, None, None, -0.34) vs (None, 225, None, 223, None)"
DUCHENNE_GENE_THERAPY_REVIEW,NCT05096221,M10,"cross-review divergence vs DELANDISTROGENE_DMD_REVIEW: (None, 63, None, 62, 1.61) vs (None, 64, None, 61, None)"
DUPILUMAB_AD_REVIEW,NCT02277743,M10,"cross-review divergence vs ATOPIC_DERM_NMA_REVIEW: (None, 224, None, 224, 5.68) vs (None, 224, None, 224, 6.4)"
DUPILUMAB_COPD_REVIEW,NCT04456673,M10,"cross-review divergence vs COPD_BIOLOGICS_BROAD_REVIEW: (None, 468, None, 467, 0.66) vs (None, 470, None, 465, 0.66)"
EFGARTIGIMOD_MG_REVIEW,NULLED:NCT03669588,M10,"cross-review divergence vs FCRN_AGONIST_BROAD_NMA_REVIEW: (56, 84, 25, 83, 2.28) vs (56, 84, 25, 83, 2.21)"
EOE_BIOLOGIC_NMA_REVIEW,NCT03633617,M10,"cross-review divergence vs EOSINOPHILIC_DISEASES_BROAD_REVIEW: (96, 159, 6, 81, 8.15) vs (41, 42, 5, 38, 7.45)"
EOSINOPHILIC_DISEASES_BROAD_REVIEW,NCT03633617,M10,"cross-review divergence vs EOE_BIOLOGIC_NMA_REVIEW: (41, 42, 5, 38, 7.45) vs (96, 159, 6, 81, 8.15)"
EOSINOPHILIC_DISEASES_BROAD_REVIEW,NCT02898454,M10,"cross-review divergence vs CRSWNP_BIOLOGIC_NMA_REVIEW: (None, 143, None, 133, 1.81) vs (None, None, None, None, -1.8)"
EOSINOPHILIC_DISEASES_BROAD_REVIEW,NCT02912468,M10,"cross-review divergence vs CRSWNP_BIOLOGIC_NMA_REVIEW: (None, None, None, None, 2.16) vs (None, None, None, None, -2.06)"
EOSINOPHILIC_DISEASES_BROAD_REVIEW,NCT03085797,M10,"cross-review divergence vs CRSWNP_BIOLOGIC_NMA_REVIEW: (None, 206, None, 201, 2.32) vs (None, None, None, None, -0.73)"
EPILEPSY_NEW_AEDS_REVIEW,NCT01866111,M10,"cross-review divergence vs EPILEPSY_NEW_AGENTS_NMA_REVIEW: (None, 113, None, 109, 2.01) vs (None, 170, None, 52, 2.92)"
EPILEPSY_NEW_AGENTS_NMA_REVIEW,NCT01866111,M10,"cross-review divergence vs EPILEPSY_NEW_AEDS_REVIEW: (None, 170, None, 52, 2.92) vs (None, 113, None, 109, 2.01)"
