file,k_used,tau2,pooled_RR,ci_lower,ci_upper,pi_lower,pi_upper,ci_excludes_null,pi_includes_null,verdict
GLP1_CVOT_REVIEW.html,10,0.0029,0.868,0.800,0.941,0.756,0.995,True,False,OK
GLP1_MASH_NMA_REVIEW.html,3,0.0900,3.040,0.615,15.028,0.617,14.975,False,True,OK
HCC_1L_REVIEW.html,4,0.0131,0.970,0.622,1.514,0.637,1.477,False,True,OK
HEMOPHILIA_GENE_THERAPY_NMA_REVIEW.html,3,0.0036,1.132,0.825,1.553,0.823,1.556,False,True,OK
HEPATITIS_HCV_DAA_REVIEW.html,2,13.8567,12.619,0.000,110611806769847687255751185712321191121347280633987130720256.000,,,False,False,OK
HER2_LOW_ADC_REVIEW.html,4,0.0172,0.822,0.476,1.418,0.510,1.324,False,True,OK
HF_QUADRUPLE_NMA_REVIEW.html,6,0.0000,0.821,0.777,0.867,0.777,0.867,True,False,OK
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,3,0.0726,1.606,0.325,7.932,0.401,6.432,False,True,OK
HIFPH_CKD_ANEMIA_REVIEW.html,5,0.0038,1.005,0.861,1.173,0.819,1.233,False,True,OK
HIGH_EFFICACY_MS_REVIEW.html,4,0.0067,0.502,0.381,0.660,0.356,0.706,True,False,OK
HIV_ART_TIMING_NMA_REVIEW.html,3,0.4714,0.481,0.000,467.502,0.015,15.352,False,True,OK
HIV_LA_PREP_REVIEW.html,4,0.5219,0.134,0.012,1.541,0.008,2.159,False,True,OK
HIV_PREP_INJECTABLE_NMA_REVIEW.html,3,0.3012,0.286,0.017,4.870,0.015,5.322,False,True,OK
HIV_TB_COINFECTION_ART_TIMING_NMA_REVIEW.html,3,0.0000,0.732,0.498,1.075,0.498,1.075,False,True,OK
HPV_DOSE_REDUCTION_REVIEW.html,2,1.0353,0.056,0.000,1082102.350,,,False,False,OK
HPV_VACCINE_SCHEDULES_NMA_REVIEW.html,3,0.0000,0.048,0.009,0.256,0.009,0.256,True,False,OK
HYDROCORTISONE_SEPTIC_SHOCK_NMA_REVIEW.html,3,0.0012,0.919,0.739,1.144,0.716,1.180,False,True,OK
ICU_SEDATION_NMA_REVIEW.html,3,0.0005,0.960,0.797,1.156,0.785,1.174,False,True,OK
IL23_PSA_REVIEW.html,4,0.0387,2.080,1.011,4.279,1.004,4.311,True,False,OK
IL23_PSORIASIS_REVIEW.html,3,0.0000,20.859,5.813,74.846,5.813,74.846,True,False,OK
IL_PSORIASIS_NMA_REVIEW.html,18,0.3335,6.342,0.858,46.857,1.782,22.566,False,False,OK
INTENSIVE_BP_REVIEW.html,5,0.0000,0.803,0.701,0.920,0.701,0.920,True,False,OK
IO_CHEMO_NSCLC_1L_REVIEW.html,4,0.0047,0.811,0.650,1.013,0.625,1.053,False,True,OK
JAK_RA_REVIEW.html,3,0.0010,1.663,1.359,2.034,1.323,2.090,True,False,OK
JAK_UC_REVIEW.html,3,0.2317,2.707,0.198,36.972,0.218,33.623,False,True,OK
JAKI_AD_REVIEW.html,4,0.0570,7.130,3.265,15.568,2.692,18.885,True,False,OK
JAKI_RA_NMA_REVIEW.html,4,0.0114,1.750,1.182,2.589,1.173,2.609,True,False,OK
LEBRIKIZUMAB_AD_REVIEW.html,3,0.0547,2.687,0.839,8.607,0.721,10.011,False,True,OK
LIPID_HUB_REVIEW.html,5,0.0155,0.903,0.613,1.331,0.610,1.337,False,True,OK
MALARIA_ACT_REVIEW.html,5,0.0000,0.677,0.366,1.255,0.366,1.255,False,True,OK
MALARIA_VACCINE_NMA_REVIEW.html,3,0.0405,0.553,0.038,7.992,0.200,1.532,False,True,OK
MALARIA_VACCINES_REVIEW.html,3,0.2772,0.443,0.000,1763773.573,0.032,6.122,False,True,OK
MDR_TB_SHORTENED_NMA_REVIEW.html,3,0.1920,0.362,0.039,3.362,0.034,3.833,False,True,OK
MDRTB_BPAL_REVIEW.html,2,1.7877,0.576,0.000,1192756269910893312.000,,,False,False,OK
MEDITERRANEAN_DIET_CV_NMA_REVIEW.html,3,0.0000,0.807,0.628,1.037,0.628,1.037,False,True,OK
MIGRAINE_ACUTE_NMA_REVIEW.html,4,0.0000,1.844,1.475,2.305,1.475,2.305,True,False,OK
MITRAL_FUNCMR_REVIEW.html,3,0.0234,0.848,0.336,2.139,0.386,1.864,False,True,OK
MM_1L_REVIEW.html,4,0.0000,0.593,0.490,0.719,0.490,0.719,True,False,OK
NEOADJUVANT_IO_NSCLC_REVIEW.html,3,0.0043,0.783,0.564,1.089,0.538,1.141,False,True,OK
NIRSEVIMAB_INFANT_RSV_REVIEW.html,3,0.0000,0.237,0.114,0.492,0.114,0.492,True,False,OK
OBESITY_DRUGS_NMA_REVIEW.html,3,0.6771,4.490,0.000,4400674125.300,0.075,270.403,False,True,OK
OSIMERTINIB_EGFR_NSCLC_REVIEW.html,4,0.0847,0.541,0.089,3.286,0.189,1.546,False,True,OK
PAH_THERAPY_NMA_REVIEW.html,4,0.1679,0.585,0.061,5.633,0.131,2.609,False,True,OK
PARP_ARPI_MCRPC_REVIEW.html,3,0.0000,0.672,0.549,0.822,0.549,0.822,True,False,OK
PARP_OVARIAN_REVIEW.html,3,0.0152,0.656,0.293,1.467,0.348,1.235,False,True,OK
PCSK9_LIPID_NMA_REVIEW.html,4,0.0014,0.890,0.788,1.005,0.770,1.030,False,True,OK
PEDIATRIC_HIV_ART_NMA_REVIEW.html,3,0.0987,0.748,0.132,4.243,0.143,3.907,False,True,OK
PHYSICAL_REHAB_OLDER_NMA_REVIEW.html,3,0.0000,0.866,0.644,1.166,0.644,1.166,False,True,OK
PI3K_AKT_BC_REVIEW.html,3,0.0101,0.747,0.443,1.262,0.438,1.276,False,True,OK
POLYCYTHEMIA_VERA_NMA_REVIEW.html,3,1.7972,4.742,0.000,136978.841,0.005,4414.264,False,True,OK
POSTPARTUM_HEMORRHAGE_NMA_REVIEW.html,3,0.4166,0.673,0.000,4174053547.947,0.027,16.694,False,True,OK
PPH_BUNDLE_REVIEW.html,3,0.4038,0.670,0.000,6121171.947,0.028,15.832,False,True,OK
PSA_BIOLOGICS_NMA_REVIEW.html,4,0.0656,2.336,0.780,7.000,0.916,5.957,False,True,OK
RCC_1L_REVIEW.html,4,0.0016,0.777,0.668,0.904,0.646,0.934,True,False,OK
RISANKIZUMAB_CD_REVIEW.html,3,0.1091,1.731,0.174,17.197,0.323,9.271,False,True,OK
ROMOSOZUMAB_OP_REVIEW.html,3,0.2729,0.324,0.012,9.068,0.020,5.157,False,True,OK
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,3,0.0563,0.504,0.152,1.675,0.140,1.815,False,True,OK
RSV_VACCINE_OLDER_REVIEW.html,3,0.0250,0.216,0.073,0.641,0.064,0.724,True,False,OK
SEPSIS_RESUSCITATION_NMA_REVIEW.html,3,0.0000,0.979,0.780,1.229,0.780,1.229,False,True,OK
SEVERE_ASTHMA_NMA_REVIEW.html,2,0.0000,0.392,0.146,1.051,,,False,False,OK
SEVERE_PEDIATRIC_FEBRILE_AFRICA_NMA_REVIEW.html,3,0.0927,1.034,0.091,11.734,0.222,4.808,False,True,OK
SGLT2_HF_REVIEW.html,5,0.0016,0.780,0.701,0.868,0.676,0.899,True,False,OK
SGLT2_MACE_CVOT_REVIEW.html,4,0.0015,0.915,0.800,1.047,0.774,1.082,False,True,OK
SGLT2I_HF_NMA_REVIEW.html,6,0.0010,0.774,0.715,0.839,0.695,0.862,True,False,OK
SPONDYLOARTHRITIS_NMA_REVIEW.html,4,0.1719,1.753,0.220,13.962,0.392,7.833,False,True,OK
TAVR_LOWRISK_REVIEW.html,3,0.0000,0.660,0.385,1.131,0.385,1.131,False,True,OK
TB_PREVENTION_NMA_REVIEW.html,3,0.0168,0.892,0.494,1.608,0.419,1.896,False,True,OK
TNK_VS_TPA_STROKE_REVIEW.html,6,0.0047,1.039,0.892,1.210,0.847,1.275,False,True,OK
TOFACITINIB_UC_REVIEW.html,3,0.0055,3.265,1.496,7.125,1.430,7.453,True,False,OK
UC_BIOLOGICS_NMA_REVIEW.html,9,0.1554,2.418,1.214,4.818,0.907,6.445,True,True,PI_GAP_FAIL
UPADACITINIB_CD_REVIEW.html,3,0.0343,1.993,0.770,5.162,0.742,5.358,False,True,OK
VENETOCLAX_CLL_REVIEW.html,3,0.1584,0.470,0.026,8.607,0.063,3.526,False,True,OK
VITAMIN_D_FRACTURE_FALL_NMA_REVIEW.html,3,0.0025,0.989,0.765,1.280,0.758,1.292,False,True,OK
VITILIGO_NMA_REVIEW.html,3,0.0000,3.481,1.378,8.792,1.378,8.792,True,False,OK
