file,k_used,tau2,pooled_RR,ci_lower,ci_upper,pi_lower,pi_upper,ci_excludes_null,pi_includes_null,verdict
ACS_ANTIPLATELET_NMA_REVIEW.html,4,0.0445,0.849,0.256,2.820,0.397,1.817,False,True,OK
ADC_HER2_NMA_REVIEW.html,3,0.0276,0.731,0.205,2.606,0.316,1.691,False,True,OK
ADJUVANT_IO_MELANOMA_REVIEW.html,3,0.0023,0.673,0.512,0.886,0.491,0.923,True,False,OK
ALK_NSCLC_REVIEW.html,4,0.0305,0.584,0.324,1.050,0.304,1.122,False,True,OK
ALOPECIA_JAKI_REVIEW.html,5,0.1943,13.835,4.231,45.232,2.914,65.672,True,False,OK
ANTI_CD20_MS_NMA_REVIEW.html,6,0.0079,0.531,0.435,0.648,0.401,0.702,True,False,OK
ARPI_mHSPC_REVIEW.html,5,0.0000,0.750,0.684,0.822,0.684,0.822,True,False,OK
ARPI_NMCRPC_REVIEW.html,3,0.0097,0.513,0.311,0.846,0.303,0.869,True,False,OK
ATOPIC_DERM_NMA_REVIEW.html,7,0.0482,3.123,2.068,4.717,1.705,5.722,True,False,OK
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,3,0.0000,0.861,0.791,0.937,0.791,0.937,True,False,OK
BELIMUMAB_SLE_REVIEW.html,4,0.0000,1.288,1.105,1.501,1.105,1.501,True,False,OK
BIMEKIZUMAB_PSORIASIS_REVIEW.html,3,3.1210,11.097,0.000,1919461398.295,0.002,81789.465,False,True,OK
BPAL_MDRTB_REVIEW.html,3,0.0273,1.276,0.367,4.436,0.552,2.952,False,True,OK
BTKI_CLL_NMA_REVIEW.html,7,0.2926,0.440,0.044,4.377,0.106,1.824,False,True,OK
CABOTEGRAVIR_HIV_ART_REVIEW.html,3,0.0000,1.325,0.302,5.817,0.302,5.817,False,True,OK
CANGRELOR_PCI_REVIEW.html,3,0.0168,0.908,0.448,1.840,0.461,1.787,False,True,OK
CARDIORENAL_DKD_NMA_REVIEW.html,6,0.0068,0.781,0.653,0.934,0.615,0.991,True,False,OK
CART_DLBCL_REVIEW.html,3,0.0454,0.755,0.186,3.074,0.254,2.249,False,True,OK
CBD_SEIZURE_REVIEW.html,4,0.0000,1.872,1.243,2.819,1.243,2.819,True,False,OK
CD_BIOLOGICS_NMA_REVIEW.html,7,0.1167,1.920,0.907,4.062,0.769,4.792,False,True,OK
CDK46_MBC_REVIEW.html,3,0.0000,0.673,0.546,0.830,0.546,0.830,True,False,OK
COLCHICINE_CVD_REVIEW.html,3,0.0085,0.875,0.553,1.384,0.522,1.467,False,True,OK
COPD_TRIPLE_REVIEW.html,2,0.0336,0.694,0.000,126162.888,,,False,False,OK
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,3,0.0411,1.011,0.343,2.984,0.347,2.950,False,True,OK
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,3,0.0000,1.092,0.382,3.119,0.382,3.119,False,True,OK
DIABETIC_RETINOPATHY_NMA_REVIEW.html,3,0.8355,1.027,0.000,4975.524,0.010,103.937,False,True,OK
DOAC_AF_NMA_REVIEW.html,4,0.0000,0.760,0.650,0.888,0.650,0.888,True,False,OK
DOAC_AF_REVIEW.html,4,0.0056,0.814,0.640,1.037,0.603,1.100,False,True,OK
DOAC_VTE_NMA_REVIEW.html,4,0.0000,0.865,0.661,1.131,0.661,1.131,False,True,OK
DOLUTEGRAVIR_ART_SSA_REVIEW.html,3,0.0000,1.113,1.015,1.221,1.015,1.221,True,False,OK
DORAVIRINE_HIV_REVIEW.html,3,0.0022,1.012,0.780,1.314,0.792,1.294,False,True,OK
DUPILUMAB_AD_REVIEW.html,3,0.0000,3.553,2.175,5.803,2.175,5.803,True,False,OK
EVT_BASILAR_REVIEW.html,3,0.0763,1.621,0.352,7.455,0.384,6.839,False,True,OK
EVT_EXTENDED_WINDOW_REVIEW.html,3,0.2247,2.314,0.098,54.417,0.206,26.010,False,True,OK
EVT_LARGECORE_REVIEW.html,6,0.0505,2.162,1.320,3.541,1.078,4.336,True,False,OK
FENFLURAMINE_SEIZURE_REVIEW.html,3,0.2973,4.637,0.294,73.131,0.239,89.867,False,True,OK
FINERENONE_REVIEW.html,4,0.0000,0.872,0.786,0.967,0.786,0.967,True,False,OK
FRAGILITY_FRACTURE_REVIEW.html,5,0.0870,0.378,0.154,0.930,0.149,0.962,True,False,OK
GLP1_CVOT_NMA_REVIEW.html,8,0.0040,0.875,0.783,0.979,0.738,1.038,True,True,PI_GAP_FAIL
