file,key,name,demographics,eligibility,safety_ae,score_3
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00509795,VIEW-1,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00637377,VIEW-2,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823287,TENAYA,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823300,LUCERNE,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04423718,PULSAR,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02307682,HAWK,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02434328,HARRIER,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00593450,CATT,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00056836,MARINA,N,N,N,0
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00061594,ANCHOR,N,N,N,0
ARPI_mHSPC_REVIEW.html,NCT02677896,ARCHES,N,N,N,0
ARPI_mHSPC_REVIEW.html,NCT02446405,ENZAMET,N,N,N,0
ARPI_mHSPC_REVIEW.html,NCT02489318,TITAN,N,N,N,0
ARPI_mHSPC_REVIEW.html,NCT02799602,ARASENS,N,N,N,0
ARPI_mHSPC_REVIEW.html,NCT01715285,LATITUDE,N,N,N,0
ARPI_NMCRPC_REVIEW.html,NCT01946204,SPARTAN,N,N,N,0
ARPI_NMCRPC_REVIEW.html,NCT02003924,PROSPER,N,N,N,0
ARPI_NMCRPC_REVIEW.html,NCT02200614,ARAMIS,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT02277743,SOLO-1-Dupi,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT03131648,ECZTRA-1,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT04146363,ADvocate1,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT03985943,ARCADIA-1,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT03349060,JADE-MONO-1,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT03569293,MeasureUp-1,N,N,N,0
ATOPIC_DERM_NMA_REVIEW.html,NCT03334396,BREEZE-AD1,N,N,N,0
ATTR_CM_NMA_REVIEW.html,NCT01994889,ATTR-ACT,N,N,N,0
ATTR_CM_NMA_REVIEW.html,NCT04153149,HELIOS-B,N,N,N,0
ATTR_CM_NMA_REVIEW.html,NCT03860935,ATTRibute-CM,N,N,N,0
ATTR_PN_NMA_REVIEW.html,NCT01960348,APOLLO,N,N,N,0
ATTR_PN_NMA_REVIEW.html,NCT03759379,HELIOS-A,N,N,N,0
ATTR_PN_NMA_REVIEW.html,NCT04136184,NEURO-TTRansform,N,N,N,0
AVACINCAPTAD_GA_REVIEW.html,NCT02686658,GATHER-1,N,N,N,0
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,GATHER-2,N,N,N,0
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02047981,MORDOR-I,N,N,N,0
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,MORDOR-II,N,N,N,0
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT04224987,AVENIR,N,N,N,0
BELIMUMAB_SLE_REVIEW.html,NCT00424476,BLISS-52,N,N,N,0
BELIMUMAB_SLE_REVIEW.html,NCT00410384,BLISS-76,N,N,N,0
BELIMUMAB_SLE_REVIEW.html,NCT01484496,BLISS-SC,N,N,N,0
BELIMUMAB_SLE_REVIEW.html,NCT01639339,BLISS-LN,N,N,N,0
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03370133,BE-VIVID,N,N,N,0
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03410992,BE-READY,N,N,N,0
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,BE-SURE,N,N,N,0
BIOLOGIC_ASTHMA_REVIEW.html,NCT01691521,MENSA,N,N,N,0
BIOLOGIC_ASTHMA_REVIEW.html,NCT01914757,CALIMA,N,N,N,0
BIOLOGIC_ASTHMA_REVIEW.html,NCT02414854,QUEST,N,N,N,0
BIOLOGIC_ASTHMA_REVIEW.html,NCT03347279,NAVIGATOR,N,N,N,0
BPAL_MDRTB_REVIEW.html,NCT02589782,TB-PRACTECAL,N,N,N,0
BPAL_MDRTB_REVIEW.html,NCT02409290,STREAM-2,N,N,N,0
BPAL_MDRTB_REVIEW.html,NCT02754765,endTB-MDR,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT02475681,ELEVATE-TN,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT02477696,ELEVATE-RR,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT03734016,ALPINE,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT01722487,RESONATE-2,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT03336333,SEQUOIA,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT01578707,RESONATE,N,N,N,0
BTKI_CLL_NMA_REVIEW.html,NCT02970318,ASCEND,N,N,N,0
CAB_PREP_HIV_REVIEW.html,NCT02720094,HPTN 083,N,N,N,0
CAB_PREP_HIV_REVIEW.html,NCT03164564,HPTN 084,N,N,N,0
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02951052,ATLAS,N,N,N,0
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,FLAIR,N,N,N,0
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT03299049,ATLAS-2M,N,N,N,0
CANGRELOR_PCI_REVIEW.html,NCT00305162,CHAMPION-PCI,N,N,N,0
CANGRELOR_PCI_REVIEW.html,NCT00385138,CHAMPION-PLATFORM,N,N,N,0
CANGRELOR_PCI_REVIEW.html,NCT01156571,CHAMPION-PHOENIX,N,N,N,0
CAPIVASERTIB_BC_REVIEW.html,NCT04305496,CAPItello-291,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02540993,FIDELIO-DKD,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02545049,FIGARO-DKD,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02065791,CREDENCE,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03036150,DAPA-CKD,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03594110,EMPA-KIDNEY,N,N,N,0
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03819153,FLOW,N,N,N,0
CART_DLBCL_REVIEW.html,NCT03391466,ZUMA-7,N,N,N,0
CART_DLBCL_REVIEW.html,NCT03575351,TRANSFORM,N,N,N,0
CART_DLBCL_REVIEW.html,NCT03570892,BELINDA,N,N,N,0
CART_MM_REVIEW.html,NCT04181827,CARTITUDE-4,N,N,N,0
CART_MM_REVIEW.html,NCT03651128,KarMMa-3,N,N,N,0
CBD_SEIZURE_REVIEW.html,NCT02091375,GWPCARE1,N,N,N,0
CBD_SEIZURE_REVIEW.html,NCT02224690,GWPCARE2,N,N,N,0
CBD_SEIZURE_REVIEW.html,NCT02224560,GWPCARE3,N,N,N,0
CBD_SEIZURE_REVIEW.html,NCT02224703,GWPCARE4,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,LEGACY-PRENCT-ACCENT-1,ACCENT-1,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,LEGACY-PRENCT-CLASSIC-1,CLASSIC-1,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,NCT00152490,PRECiSE-1,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,NCT01224171,GEMINI-2,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,NCT01369329,UNITI-1,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,NCT03105128,ADVANCE,N,N,N,0
CD_BIOLOGICS_NMA_REVIEW.html,NCT03345849,U-EXCEL,N,N,N,0
CDK46_MBC_REVIEW.html,NCT01740427,PALOMA-2,N,N,N,0
CDK46_MBC_REVIEW.html,NCT01958021,MONALEESA-2,N,N,N,0
CDK46_MBC_REVIEW.html,NCT02246621,MONARCH-3,N,N,N,0
CFTR_CF_REVIEW.html,NCT00909532,STRIVE-CF,N,N,N,0
CFTR_CF_REVIEW.html,NCT03525444,VX17-445-102,N,N,N,0
CFTR_CF_REVIEW.html,NCT03525548,VX17-445-103,N,N,N,0
CFTR_MODULATORS_NMA_REVIEW.html,NCT01807923,TRAFFIC,N,N,N,0
CFTR_MODULATORS_NMA_REVIEW.html,NCT02347657,EVOLVE,N,N,N,0
CFTR_MODULATORS_NMA_REVIEW.html,NCT03525444,VX18-445-102,N,N,N,0
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02456740,STRIVE,N,N,N,0
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02629861,HALO-EM,N,N,N,0
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02614183,EVOLVE-1,N,N,N,0
CGRP_MIGRAINE_NMA_REVIEW.html,NCT02559895,PROMISE-1,N,N,N,0
CGRP_MIGRAINE_REVIEW.html,NCT02456740,STRIVE,N,N,N,0
CGRP_MIGRAINE_REVIEW.html,NCT02614183,EVOLVE-1,N,N,N,0
CGRP_MIGRAINE_REVIEW.html,NCT02629861,HALO-EM,N,N,N,0
CHOLERA_OCV_REVIEW.html,NCT02027207,Single-Dose Shanchol Bangladesh,N,N,N,0
COLCHICINE_CVD_REVIEW.html,NCT02551094,COLCOT,N,N,N,0
COLCHICINE_CVD_REVIEW.html,NCT03048825,CLEAR SYNERGY,N,N,N,0
COLCHICINE_CVD_REVIEW.html,NCT02898610,CONVINCE,N,N,N,0
COPD_TRIPLE_REVIEW.html,NCT02164513,IMPACT,N,N,N,0
COPD_TRIPLE_REVIEW.html,NCT02465567,ETHOS,N,N,N,0
COPD_TRIPLE_REVIEW.html,NCT02497001,KRONOS,N,N,N,0
COVID_ORAL_ANTIVIRALS_REVIEW.html,NCT04960202,EPIC-HR,N,N,N,0
COVID_ORAL_ANTIVIRALS_REVIEW.html,NCT04575597,MOVe-OUT,N,N,N,0
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,LEGACY-ISRCTN-45035509-ACTA,ACTA (Molloy 2018),N,N,N,0
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,LEGACY-ISRCTN-72509687-AMBITION-CM,AMBITION-cm (Jarvis 2022),N,N,N,0
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,NCT01075152,COAT (ART timing in CM),N,N,N,0
DELANDISTROGENE_DMD_REVIEW.html,NCT05096221,EMBARK,N,N,N,0
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT01627249,Protocol T DRCR (Wells 2015),N,N,N,0
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT03622580,YOSEMITE (Wykoff 2022),N,N,N,0
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,NCT03622593,RHINE (Wykoff 2022),N,N,N,0
DOAC_AF_NMA_REVIEW.html,NCT00262600,RE-LY,N,N,N,0
DOAC_AF_NMA_REVIEW.html,NCT00403767,ROCKET-AF,N,N,N,0
DOAC_AF_NMA_REVIEW.html,NCT00412984,ARISTOTLE,N,N,N,0
DOAC_AF_NMA_REVIEW.html,NCT00781391,ENGAGE-AF-TIMI-48,N,N,N,0
DOAC_AF_REVIEW.html,NCT00262600,RE-LY,N,N,N,0
DOAC_AF_REVIEW.html,NCT00403767,ROCKET-AF,N,N,N,0
DOAC_AF_REVIEW.html,NCT00412984,ARISTOTLE,N,N,N,0
DOAC_AF_REVIEW.html,NCT00781391,ENGAGE AF-TIMI 48,N,N,N,0
DOAC_VTE_NMA_REVIEW.html,NCT00291330,RE-COVER,N,N,N,0
DOAC_VTE_NMA_REVIEW.html,NCT00440193,EINSTEIN-DVT,N,N,N,0
DOAC_VTE_NMA_REVIEW.html,NCT00643201,AMPLIFY,N,N,N,0
DOAC_VTE_NMA_REVIEW.html,NCT00986154,HOKUSAI-VTE,N,N,N,0
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03122262,ADVANCE,N,N,N,0
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT02777229,NAMSAL,N,N,N,0
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NCT03048422,IMPAACT 2010,N,N,N,0
DONANEMAB_AD_SOLO_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ 2,N,N,N,0
DORAVIRINE_HIV_REVIEW.html,NCT02403674,DRIVE-AHEAD,N,N,N,0
DORAVIRINE_HIV_REVIEW.html,NCT02275780,DRIVE-FORWARD,N,N,N,0
DORAVIRINE_HIV_REVIEW.html,NCT02397096,DRIVE-SHIFT,N,N,N,0
DUPILUMAB_AD_REVIEW.html,NCT02277743,SOLO-1,N,N,N,0
DUPILUMAB_AD_REVIEW.html,NCT02277769,SOLO-2,N,N,N,0
DUPILUMAB_AD_REVIEW.html,NCT02260986,CHRONOS,N,N,N,0
DUPILUMAB_COPD_REVIEW.html,NCT03930732,BOREAS,N,N,N,0
DUPILUMAB_COPD_REVIEW.html,NCT04456673,NOTUS,N,N,N,0
EBOLA_VACCINE_REVIEW.html,NCT02378753,STRIVE Sierra Leone (rVSV\u0394G-ZEBOV),N,N,N,0
EBOLA_VACCINE_REVIEW.html,LEGACY-PACTR-EBOLA-CI-RING,Ebola ça Suffit Guinea Ring (Henao-Restr,N,N,N,0
EFGARTIGIMOD_MG_REVIEW.html,NCT03669588,ADAPT,N,N,N,0
ELACESTRANT_BC_REVIEW.html,NCT03778931,EMERALD,N,N,N,0
ENSIFENTRINE_COPD_REVIEW.html,NCT04535986,ENHANCE-1,N,N,N,0
ENSIFENTRINE_COPD_REVIEW.html,NCT04542057,ENHANCE-2,N,N,N,0
ESKETAMINE_TRD_REVIEW.html,NCT02418585,TRANSFORM-2,N,N,N,0
ESKETAMINE_TRD_REVIEW.html,NCT02422186,TRANSFORM-3,N,N,N,0
ETRASIMOD_UC_REVIEW.html,NCT03945188,ELEVATE UC 52,N,N,N,0
ETRASIMOD_UC_REVIEW.html,NCT03996369,ELEVATE UC 12,N,N,N,0
EVT_BASILAR_REVIEW.html,NCT04751708,ATTENTION,N,N,N,0
EVT_BASILAR_REVIEW.html,NCT02737189,BAOCHE,N,N,N,0
EVT_BASILAR_REVIEW.html,NCT01717755,BASICS,N,N,N,0
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02142283,DAWN,N,N,N,0
EVT_EXTENDED_WINDOW_REVIEW.html,NCT02586415,DEFUSE 3,N,N,N,0
EVT_EXTENDED_WINDOW_REVIEW.html,NCT03098355,MR CLEAN-LATE,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT03702413,RESCUE-Japan LIMIT,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT04551664,ANGEL-ASPECT,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT03876457,SELECT2,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT03094715,TENSION,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT03811769,LASTE,N,N,N,0
EVT_LARGECORE_REVIEW.html,NCT03805308,TESLA,N,N,N,0
FARICIMAB_NAMD_REVIEW.html,NCT03823287,TENAYA,N,N,N,0
FARICIMAB_NAMD_REVIEW.html,NCT03823300,LUCERNE,N,N,N,0
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02682927,Study 1 (Dravet),N,N,N,0
FENFLURAMINE_SEIZURE_REVIEW.html,NCT02926898,Study 2 (Dravet+stiripentol),N,N,N,0
FENFLURAMINE_SEIZURE_REVIEW.html,NCT03355209,LGS Study 1,N,N,N,0
FEZOLINETANT_VMS_REVIEW.html,NCT04003155,SKYLIGHT-1,N,N,N,0
FEZOLINETANT_VMS_REVIEW.html,NCT04003142,SKYLIGHT-2,N,N,N,0
FINERENONE_REVIEW.html,NCT02540993,FIDELIO-DKD,N,N,N,0
FINERENONE_REVIEW.html,NCT02545049,FIGARO-DKD,N,N,N,0
FINERENONE_REVIEW.html,NCT04435626,FINEARTS-HF,N,N,N,0
FINERENONE_REVIEW.html,NCT01874431,ARTS-DN,N,N,N,0
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01631214,ARCH,N,N,N,0
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT01575834,FRAME,N,N,N,0
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00321620,ACTIVE,N,N,N,0
FRAGILITY_FRACTURE_NMA_REVIEW.html,NCT00089791,FREEDOM,N,N,N,0
FRAGILITY_FRACTURE_NMA_REVIEW.html,LEGACY-VERT-1999,VERT,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT01179048,LEADER,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT01720446,SUSTAIN-6,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT01394952,REWIND,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT02692716,PIONEER-6,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT01147250,ELIXA,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT02465515,HARMONY-Outcomes,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT01144338,EXSCEL,N,N,N,0
GLP1_CVOT_NMA_REVIEW.html,NCT03496298,AMPLITUDE-O,N,N,N,0
GLP1_CVOT_REVIEW.html,NCT01147250,ELIXA,N,N,N,0
