file,name,n,age,pct_female,followup
BELIMUMAB_SLE_REVIEW.html,BLISS-52,418,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-76,392,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-SC,836,,,12.0
BELIMUMAB_SLE_REVIEW.html,BLISS-LN,446,,,23.9
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-VIVID,404,,,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-READY,435,,,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-SURE,478,,,
BIOLOGIC_ASTHMA_REVIEW.html,MENSA,576,,,
BIOLOGIC_ASTHMA_REVIEW.html,CALIMA,487,,,
BIOLOGIC_ASTHMA_REVIEW.html,QUEST,952,,,
BIOLOGIC_ASTHMA_REVIEW.html,NAVIGATOR,1059,,,
BPAL_MDRTB_REVIEW.html,TB-PRACTECAL,251,,,
BPAL_MDRTB_REVIEW.html,STREAM-2,409,,,
BPAL_MDRTB_REVIEW.html,endTB-MDR,306,,,
BTKI_CLL_NMA_REVIEW.html,ELEVATE-TN,356,,,
BTKI_CLL_NMA_REVIEW.html,ELEVATE-RR,533,,,
BTKI_CLL_NMA_REVIEW.html,ALPINE,652,,,
BTKI_CLL_NMA_REVIEW.html,RESONATE-2,269,,,
BTKI_CLL_NMA_REVIEW.html,SEQUOIA,479,,,
BTKI_CLL_NMA_REVIEW.html,RESONATE,391,,,
BTKI_CLL_NMA_REVIEW.html,ASCEND,310,,,
CAB_PREP_HIV_REVIEW.html,HPTN 083,4566,,,
CAB_PREP_HIV_REVIEW.html,HPTN 084,3224,,,
CABOTEGRAVIR_HIV_ART_REVIEW.html,ATLAS,616,,,11.0
CABOTEGRAVIR_HIV_ART_REVIEW.html,FLAIR,566,,,11.0
CABOTEGRAVIR_HIV_ART_REVIEW.html,ATLAS-2M,1045,,,11.0
CANGRELOR_PCI_REVIEW.html,CHAMPION-PCI,8925,,,
CANGRELOR_PCI_REVIEW.html,CHAMPION-PLATFORM,5295,,,
CANGRELOR_PCI_REVIEW.html,CHAMPION-PHOENIX,10942,,,
CAPIVASERTIB_BC_REVIEW.html,CAPItello-291,708,,,
CARDIORENAL_DKD_NMA_REVIEW.html,FIDELIO-DKD,5674,,,
CARDIORENAL_DKD_NMA_REVIEW.html,FIGARO-DKD,7352,,,
CARDIORENAL_DKD_NMA_REVIEW.html,CREDENCE,4401,,,
CARDIORENAL_DKD_NMA_REVIEW.html,DAPA-CKD,4304,,,
CARDIORENAL_DKD_NMA_REVIEW.html,EMPA-KIDNEY,6609,,,
CARDIORENAL_DKD_NMA_REVIEW.html,FLOW,3533,,,
CART_DLBCL_REVIEW.html,ZUMA-7,359,,,
CART_DLBCL_REVIEW.html,TRANSFORM,184,,,
CART_DLBCL_REVIEW.html,BELINDA,322,,,
CART_MM_REVIEW.html,CARTITUDE-4,419,,,
CART_MM_REVIEW.html,KarMMa-3,386,,,
CBD_SEIZURE_REVIEW.html,GWPCARE1,120,,,3.2
CBD_SEIZURE_REVIEW.html,GWPCARE2,132,,,3.2
CBD_SEIZURE_REVIEW.html,GWPCARE3,149,,,3.2
CBD_SEIZURE_REVIEW.html,GWPCARE4,171,,,3.2
CD_BIOLOGICS_NMA_REVIEW.html,PRECiSE-1,662,,,0.0
CD_BIOLOGICS_NMA_REVIEW.html,GEMINI-2,368,,,0.0
CD_BIOLOGICS_NMA_REVIEW.html,UNITI-1,496,,,1.8
CD_BIOLOGICS_NMA_REVIEW.html,ADVANCE,547,,,0.0
CD_BIOLOGICS_NMA_REVIEW.html,U-EXCEL,483,,,2.8
CDK46_MBC_REVIEW.html,PALOMA-2,666,,,
CDK46_MBC_REVIEW.html,MONALEESA-2,668,,,
CDK46_MBC_REVIEW.html,MONARCH-3,493,,,
CFTR_CF_REVIEW.html,STRIVE-CF,161,,,
CFTR_CF_REVIEW.html,VX17-445-102,403,,,
CFTR_CF_REVIEW.html,VX17-445-103,403,,,
CFTR_MODULATORS_NMA_REVIEW.html,TRAFFIC,553,,,
CFTR_MODULATORS_NMA_REVIEW.html,EVOLVE,499,,,
CFTR_MODULATORS_NMA_REVIEW.html,VX18-445-102,403,,,
CGRP_MIGRAINE_NMA_REVIEW.html,STRIVE,635,,,
CGRP_MIGRAINE_NMA_REVIEW.html,HALO-EM,584,,,
CGRP_MIGRAINE_NMA_REVIEW.html,EVOLVE-1,638,,,
CGRP_MIGRAINE_NMA_REVIEW.html,PROMISE-1,444,,,0.2
CGRP_MIGRAINE_REVIEW.html,STRIVE,953,,,
CGRP_MIGRAINE_REVIEW.html,EVOLVE-1,858,,,
CGRP_MIGRAINE_REVIEW.html,HALO-EM,875,,,
CHOLERA_OCV_REVIEW.html,Single-Dose Shanchol Bangladesh,204438,,,6.0
COLCHICINE_CVD_REVIEW.html,COLCOT,4745,,,
COLCHICINE_CVD_REVIEW.html,CLEAR SYNERGY,7062,,,
COLCHICINE_CVD_REVIEW.html,CONVINCE,3144,,,
COPD_TRIPLE_REVIEW.html,IMPACT,8285,,,
COPD_TRIPLE_REVIEW.html,ETHOS,4257,,,
COPD_TRIPLE_REVIEW.html,KRONOS,1264,,,
COVID_ORAL_ANTIVIRALS_REVIEW.html,EPIC-HR,1379,,,
COVID_ORAL_ANTIVIRALS_REVIEW.html,MOVe-OUT,1408,,,
CRYPTOCOCCAL_MENINGITIS_AFRICA_REVIEW.html,COAT (ART timing in CM),177,,,
DELANDISTROGENE_DMD_REVIEW.html,EMBARK,125,,,
DIABETIC_MACULAR_EDEMA_REVIEW.html,Protocol T DRCR (Wells 2015),442,,,
DIABETIC_MACULAR_EDEMA_REVIEW.html,YOSEMITE (Wykoff 2022),627,,,
DIABETIC_MACULAR_EDEMA_REVIEW.html,RHINE (Wykoff 2022),632,,,
DIABETIC_RETINOPATHY_REVIEW.html,Protocol S DRCR (Gross 2015),394,,,
DIABETIC_RETINOPATHY_REVIEW.html,PANORAMA (Brown 2021),402,,,12.0
DIABETIC_RETINOPATHY_REVIEW.html,Protocol W DRCR (Maturi 2021),399,,,48.0
DOAC_AF_NMA_REVIEW.html,RE-LY,12098,,,
DOAC_AF_NMA_REVIEW.html,ROCKET-AF,14171,,,
DOAC_AF_NMA_REVIEW.html,ARISTOTLE,18201,,,
DOAC_AF_NMA_REVIEW.html,ENGAGE-AF-TIMI-48,14071,,,
DOAC_AF_REVIEW.html,RE-LY,12098,,,
DOAC_AF_REVIEW.html,ROCKET-AF,14171,,,
DOAC_AF_REVIEW.html,ARISTOTLE,18201,,,
DOAC_AF_REVIEW.html,ENGAGE AF-TIMI 48,14071,,,
DOAC_VTE_NMA_REVIEW.html,RE-COVER,2539,,,
DOAC_VTE_NMA_REVIEW.html,EINSTEIN-DVT,3449,,,
DOAC_VTE_NMA_REVIEW.html,AMPLIFY,5395,,,
DOAC_VTE_NMA_REVIEW.html,HOKUSAI-VTE,8240,,,
DOLUTEGRAVIR_ART_SSA_REVIEW.html,ADVANCE,702,,,11.0
DOLUTEGRAVIR_ART_SSA_REVIEW.html,NAMSAL,613,,,11.0
DOLUTEGRAVIR_ART_SSA_REVIEW.html,IMPAACT 2010,428,,,
DONANEMAB_AD_SOLO_REVIEW.html,TRAILBLAZER-ALZ 2,1736,,,
DORAVIRINE_HIV_REVIEW.html,DRIVE-AHEAD,728,,,11.0
DORAVIRINE_HIV_REVIEW.html,DRIVE-FORWARD,766,,,11.0
DORAVIRINE_HIV_REVIEW.html,DRIVE-SHIFT,670,,,11.0
DUPILUMAB_AD_REVIEW.html,SOLO-1,448,,,
DUPILUMAB_AD_REVIEW.html,SOLO-2,469,,,
DUPILUMAB_AD_REVIEW.html,CHRONOS,634,,,
DUPILUMAB_COPD_REVIEW.html,BOREAS,939,,,
DUPILUMAB_COPD_REVIEW.html,NOTUS,935,,,
EBOLA_VACCINE_REVIEW.html,STRIVE Sierra Leone (rVSV\u0394G-ZEBOV),8651,,,6.0
EFGARTIGIMOD_MG_REVIEW.html,ADAPT,167,,,
ELACESTRANT_BC_REVIEW.html,EMERALD,478,,,
ENSIFENTRINE_COPD_REVIEW.html,ENHANCE-1,760,,,
ENSIFENTRINE_COPD_REVIEW.html,ENHANCE-2,789,,,
ESKETAMINE_TRD_REVIEW.html,TRANSFORM-2,223,,,
ESKETAMINE_TRD_REVIEW.html,TRANSFORM-3,137,,,
ETRASIMOD_UC_REVIEW.html,ELEVATE UC 52,433,,,2.8
ETRASIMOD_UC_REVIEW.html,ELEVATE UC 12,354,,,2.8
EVT_BASILAR_REVIEW.html,ATTENTION,340,,,
EVT_BASILAR_REVIEW.html,BAOCHE,217,,,
EVT_BASILAR_REVIEW.html,BASICS,300,,,
EVT_EXTENDED_WINDOW_REVIEW.html,DAWN,206,,,
EVT_EXTENDED_WINDOW_REVIEW.html,DEFUSE 3,207,,,
EVT_EXTENDED_WINDOW_REVIEW.html,MR CLEAN-LATE,502,,,
EVT_LARGECORE_REVIEW.html,RESCUE-Japan LIMIT,202,,,
EVT_LARGECORE_REVIEW.html,ANGEL-ASPECT,455,,,
EVT_LARGECORE_REVIEW.html,SELECT2,350,,,
EVT_LARGECORE_REVIEW.html,TENSION,253,,,
EVT_LARGECORE_REVIEW.html,LASTE,333,,,
EVT_LARGECORE_REVIEW.html,TESLA,300,,,
FARICIMAB_NAMD_REVIEW.html,TENAYA,671,,,11.0
FARICIMAB_NAMD_REVIEW.html,LUCERNE,658,,,11.0
FENFLURAMINE_SEIZURE_REVIEW.html,Study 1 (Dravet),80,,,3.2
FENFLURAMINE_SEIZURE_REVIEW.html,Study 2 (Dravet+stiripentol),87,,,3.2
FENFLURAMINE_SEIZURE_REVIEW.html,LGS Study 1,174,,,3.2
FEZOLINETANT_VMS_REVIEW.html,SKYLIGHT-1,349,,,2.8
FEZOLINETANT_VMS_REVIEW.html,SKYLIGHT-2,334,,,2.8
FINERENONE_REVIEW.html,FIDELIO-DKD,5674,,,
FINERENONE_REVIEW.html,FIGARO-DKD,7352,,,
FINERENONE_REVIEW.html,FINEARTS-HF,6001,,,
FINERENONE_REVIEW.html,ARTS-DN,821,,,
FRAGILITY_FRACTURE_REVIEW.html,ARCH,4093,,,
FRAGILITY_FRACTURE_REVIEW.html,FRAME,7180,,,
FRAGILITY_FRACTURE_REVIEW.html,ACTIVE,1645,,,
