dashboard,V1_REML_iter,V2_REML_primary,V3_Qprofile_tau2,V4_qchisq_lowdf,V5_HKSJ_floor,V6_PI_df_kminus1,V7_ROBME,V8_MH_pool,fail_count,failed
ABLATION_AF_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ACALABRUTINIB_CLL_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ACORAMIDIS_ATTR_CM_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ACS_ANTIPLATELET_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ADC_HER2_ADJUVANT_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ADC_HER2_LOW_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ADC_HER2_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ADJUVANT_IO_MELANOMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
AFICAMTEN_HCM_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
AFLIBERCEPT_HD_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ALDO_SYNTHASE_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ALK_NSCLC_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ALOPECIA_JAKI_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANIFROLUMAB_SLE_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANTI_CD20_MS_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANTIAMYLOID_AD_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANTIAMYLOID_AD_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ANTIVEGF_NAMD_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ARNI_HF_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ARPI_mHSPC_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ARPI_NMCRPC_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ATOPIC_DERM_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ATTR_CM_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ATTR_CM_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
ATTR_PN_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
AVACINCAPTAD_GA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BELIMUMAB_SLE_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BEMPEDOIC_ACID_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BIMEKIZUMAB_PSORIASIS_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BIOLOGIC_ASTHMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BPAL_MDRTB_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
BTKI_CLL_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CAB_PREP_HIV_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CABOTEGRAVIR_HIV_ART_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CANGRELOR_PCI_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CAPIVASERTIB_BC_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CARDIORENAL_DKD_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CART_DLBCL_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CART_MM_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CBD_SEIZURE_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CD_BIOLOGICS_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CDK46_MBC_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CFTR_CF_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CFTR_MODULATORS_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
CGRP_MIGRAINE_NMA_REVIEW.html,ok,ok,ok,ok,ok,ok,ok,ok,0,
