file,base_nct,names,total,ctg_enrollment,ctg_acronym,ctg_title,ratio,category
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05186870,Target-HTN,200,20,,Reliability of Functional Outcome Measures in Neurofibromatosis 1: Test- Retest,10.0,OUTLIER
ALK_NSCLC_NMA_REVIEW.html,NCT02075840,ALEX,303,303,ALEX,A Study Comparing Alectinib With Crizotinib in Treatment-Naive Anaplastic Lympho,1.0,OK
ALK_NSCLC_NMA_REVIEW.html,NCT02737501,ALTA-1L,275,275,ALTA-1L,ALTA-1L Study: A Study of Brigatinib Versus Crizotinib in Anaplastic Lymphoma Ki,1.0,OK
ALK_NSCLC_NMA_REVIEW.html,NCT03052608,CROWN,296,296,,A Study Of Lorlatinib Versus Crizotinib In First Line Treatment Of Patients With,1.0,OK
ALK_NSCLC_NMA_REVIEW.html,NCT02767804,eXalt3,290,290,,eXalt3: Study Comparing X-396 (Ensartinib) to Crizotinib in ALK Positive Non-Sma,1.0,OK
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03570749,BRAVE-AA1,470,784,BRAVE-AA1,A Study of Baricitinib (LY3009104) in Participants With Severe or Very Severe Al,0.599,OK
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03899259,BRAVE-AA2,390,606,BRAVE-AA2,A Study of Baricitinib (LY3009104) in Adults With Severe or Very Severe Alopecia,0.644,OK
ALOPECIA_JAKI_NMA_REVIEW.html,NCT03732807,ALLEGRO-2b/3,261,718,ALLEGRO-2b/3,PF-06651600 for the Treatment of Alopecia Areata,0.364,OK
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04518995,THRIVE-AA1,352,706,THRIVE-AA1,Study to Evaluate the Efficacy and Safety of CTP-543 in Adults With Moderate to ,0.499,OK
ALOPECIA_JAKI_NMA_REVIEW.html,NCT04797650,THRIVE-AA2,261,517,THRIVE-AA2,Study to Evaluate the Efficacy and Safety of CTP-543 in Adults With Moderate to ,0.505,OK
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,TULIP-1,364,460,,Efficacy and Safety of Two Doses of Anifrolumab Compared to Placebo in Adult Sub,0.791,OK
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,TULIP-2,362,373,,Efficacy and Safety of Anifrolumab Compared to Placebo in Adult Subjects With Ac,0.971,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT01247324,OPERA I,821,821,,A Study of Ocrelizumab in Comparison With Interferon Beta-1a (Rebif) in Particip,1.0,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT01412333,OPERA II,835,835,,A Study of Ocrelizumab in Comparison With Interferon Beta-1a (Rebif) in Particip,1.0,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792218,ASCLEPIOS I,927,930,ASCLEPIOS I,Efficacy and Safety of Ofatumumab Compared to Teriflunomide in Patients With Rel,0.997,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT02792231,ASCLEPIOS II,955,955,ASCLEPIOS II,Efficacy and Safety of Ofatumumab Compared to Teriflunomide in Patients With Rel,1.0,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277261,ULTIMATE I,549,549,ULTIMATE 1,Study to Assess the Efficacy and Safety of Ublituximab in Participants With Rela,1.0,OK
ANTI_CD20_MS_NMA_REVIEW.html,NCT03277248,ULTIMATE II,544,545,ULTIMATE II,Study to Assess the Efficacy and Safety of Ublituximab in Participants With Rela,0.998,OK
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03887455,Clarity AD,1734,1906,Clarity AD,A Study to Confirm Safety and Efficacy of Lecanemab in Participants With Early A,0.91,OK
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ 2,1736,1736,,A Study of Donanemab (LY3002813) in Participants With Early Alzheimer's Disease ,1.0,OK
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02477800,EMERGE,1092,1653,ENGAGE,221AD301 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,0.661,OK
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02484547,ENGAGE,1103,1643,EMERGE,221AD302 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,0.671,OK
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03443973,GRADUATE I,1961,975,,Safety and Efficacy Study of Gantenerumab in Participants With Early Alzheimer's,2.011,OUTLIER
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03444870,GRADUATE II,1958,1053,,Efficacy and Safety Study of Gantenerumab in Participants With Early Alzheimer's,1.859,OUTLIER
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT01900665,EXPEDITION 3,2129,2129,EXPEDITION 3,Progress of Mild Alzheimer's Disease in Participants on Solanezumab Versus Place,1.0,OK
ANTIAMYLOID_AD_REVIEW.html,NCT03887455,Clarity-AD,1795,1906,Clarity AD,A Study to Confirm Safety and Efficacy of Lecanemab in Participants With Early A,0.942,OK
ANTIAMYLOID_AD_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ2,1736,1736,,A Study of Donanemab (LY3002813) in Participants With Early Alzheimer's Disease ,1.0,OK
ANTIAMYLOID_AD_REVIEW.html,NCT02477800,EMERGE,1095,1653,ENGAGE,221AD301 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,0.662,OK
ANTIAMYLOID_AD_REVIEW.html,NCT02484547,ENGAGE,1103,1643,EMERGE,221AD302 Phase 3 Study of Aducanumab (BIIB037) in Early Alzheimer's Disease,0.671,OK
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414205,Olanzapine-Pivotal,440,80,,A Study Comparing Obinutuzumab (RO5072759; GA101) 1000 Milligram (mg) Versus 200,5.5,OUTLIER
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414492,Risperidone-Pivotal,160,,,404,,CTGOV_NOT_FOUND
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414089,Quetiapine-Pivotal,457,,,404,,CTGOV_NOT_FOUND
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414725,Aripiprazole-Pivotal,317,100,,Core Stability Training in Multiple Sclerosis,3.17,OUTLIER
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414568,Ziprasidone-Pivotal,230,,,404,,CTGOV_NOT_FOUND
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414611,Paliperidone-Pivotal,568,,,404,,CTGOV_NOT_FOUND
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414350,Lurasidone-Pivotal,474,,,404,,CTGOV_NOT_FOUND
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,NCT01414479,Haloperidol-Pivotal,406,,,404,,CTGOV_NOT_FOUND
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00509795,VIEW-1,608,1217,VIEW1,Vascular Endothelial Growth Factor VEGF Trap-Eye:Investigation of Efficacy and S,0.5,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00637377,VIEW-2,597,1240,VIEW 2,Vascular Endothelial Growth Factor (VEGF) Trap-Eye: Investigation of Efficacy an,0.481,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823287,TENAYA,671,671,,A Study to Evaluate the Efficacy and Safety of Faricimab in Participants With Ne,1.0,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT03823300,LUCERNE,658,658,,A Study to Evaluate the Efficacy and Safety of Faricimab in Participants With Ne,1.0,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT04964089,PULSAR,671,557,DAYLIGHT,A Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared Wit,1.205,OUTLIER
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02307682,HAWK,720,1775,HAWK,Efficacy and Safety of RTH258 Versus Aflibercept - Study 1,0.406,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT02434328,HARRIER,739,1048,HARRIER,Efficacy and Safety of RTH258 Versus Aflibercept - Study 2,0.705,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00593450,CATT,570,1208,,Comparison of Age-related Macular Degeneration Treatments Trials: Lucentis-Avast,0.472,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00784290,IVAN,610,35,,Phase I/II Study of TSU-68 for Advanced Hepatocellular Carcinoma,17.429,OUTLIER
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00056836,MARINA,478,720,,A Study to Evaluate rhuFab V2 in Subjects With Minimally Classic or Occult Subfo,0.664,OK
ANTIVEGF_NAMD_NMA_REVIEW.html,NCT00061594,ANCHOR,283,426,,A Study to Compare rhuFab V2 With Verteporfin Photodynamic in Treating Subfoveal,0.664,OK
ARPI_mHSPC_REVIEW.html,NCT02677896,ARCHES,1150,1150,ARCHES,A Study of Enzalutamide Plus Androgen Deprivation Therapy (ADT) Versus Placebo P,1.0,OK
ARPI_mHSPC_REVIEW.html,NCT02446405,ENZAMET,1125,1125,ENZAMET,Enzalutamide in First Line Androgen Deprivation Therapy for Metastatic Prostate ,1.0,OK
ARPI_mHSPC_REVIEW.html,NCT02489318,TITAN,1052,1052,TITAN,"A Study of Apalutamide (JNJ-56021927, ARN-509) Plus Androgen Deprivation Therapy",1.0,OK
ARPI_mHSPC_REVIEW.html,NCT02799602,ARASENS,1305,1306,ARASENS,Darolutamide in Addition to Standard Androgen Deprivation Therapy and Docetaxel ,0.999,OK
ARPI_mHSPC_REVIEW.html,NCT01715285,LATITUDE,1199,1209,,A Study of Abiraterone Acetate Plus Low-Dose Prednisone Plus Androgen Deprivatio,0.992,OK
ARPI_NMCRPC_REVIEW.html,NCT01946204,SPARTAN,1207,1207,SPARTAN,A Study of Apalutamide (ARN-509) in Men With Non-Metastatic Castration-Resistant,1.0,OK
ARPI_NMCRPC_REVIEW.html,NCT02003924,PROSPER,1401,1401,PROSPER,Safety and Efficacy Study of Enzalutamide in Patients With Nonmetastatic Castrat,1.0,OK
ARPI_NMCRPC_REVIEW.html,NCT02200614,ARAMIS,1509,1509,ARAMIS,Efficacy and Safety Study of Darolutamide (ODM-201) in Men With High-risk Non-me,1.0,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT02277743,SOLO-1-Dupi,448,671,SOLO 1,Study of Dupilumab Monotherapy Administered to Adult Patients With Moderate-to-S,0.668,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT03131648,ECZTRA-1,500,802,ECZTRA 1,Tralokinumab Monotherapy for Moderate to Severe Atopic Dermatitis - ECZTRA 1 (EC,0.623,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT04146363,ADvocate1,424,424,,Evaluation of the Efficacy and Safety of Lebrikizumab (LY3650150) in Moderate to,1.0,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT03985943,ARCADIA-1,614,941,,Efficacy and Safety of Nemolizumab in Subjects With Moderate-to-Severe Atopic De,0.652,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT03349060,JADE-MONO-1,231,387,JADE Mono-1,Study to Evaluate Efficacy and Safety of PF-04965842 in Subjects Aged 12 Years A,0.597,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT03569293,MeasureUp-1,422,912,Measure Up 1,Evaluation of Upadacitinib in Adolescent and Adult Patients With Moderate to Sev,0.463,OK
ATOPIC_DERM_NMA_REVIEW.html,NCT03334396,BREEZE-AD1,498,660,BREEZE-AD1,A Study of Baricitinib (LY3009104) in Patients With Moderate to Severe Atopic De,0.755,OK
ATTR_CM_NMA_REVIEW.html,NCT01994889,ATTR-ACT,441,441,ATTR-ACT,Safety and Efficacy of Tafamidis in Patients With Transthyretin Cardiomyopathy,1.0,OK
ATTR_CM_NMA_REVIEW.html,NCT04153149,HELIOS-B,655,655,,HELIOS-B: A Study to Evaluate Vutrisiran in Patients With Transthyretin Amyloido,1.0,OK
ATTR_CM_NMA_REVIEW.html,NCT03860935,ATTRibute-CM,632,632,ATTRibute-CM,Efficacy and Safety of AG10 in Subjects With Transthyretin Amyloid Cardiomyopath,1.0,OK
ATTR_PN_NMA_REVIEW.html,NCT01960348,APOLLO,225,225,,"APOLLO: The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Tre",1.0,OK
ATTR_PN_NMA_REVIEW.html,NCT03759379,HELIOS-A,199,164,,HELIOS-A: A Study of Vutrisiran (ALN-TTRSC02) in Patients With Hereditary Transt,1.213,OUTLIER
ATTR_PN_NMA_REVIEW.html,NCT04136184,NEURO-TTRansform,204,168,,NEURO-TTRansform: A Study to Evaluate the Efficacy and Safety of Eplontersen (Fo,1.214,OUTLIER
AVACINCAPTAD_GA_REVIEW.html,NCT02686658,GATHER-1,177,286,,Zimura in Participants With Geographic Atrophy Secondary to Dry Age-Related Macu,0.619,OK
AVACINCAPTAD_GA_REVIEW.html,NCT04435366,GATHER-2,448,448,,A Phase 3 Safety and Efficacy Study of Intravitreal Administration of Zimura (Co,1.0,OK
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02047981,MORDOR-I,190000,190238,MORDORIMort,Mortality Reduction After Oral Azithromycin: Mortality Study,0.999,OK
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT02048007,MORDOR-II,100000,72000,MORDORMorb,Mortality Reduction After Oral Azithromycin: Morbidity Study,1.389,OUTLIER
AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,NCT04483725,AVENIR,90000,,,404,,CTGOV_NOT_FOUND
BELIMUMAB_SLE_REVIEW.html,NCT00424476,BLISS-52,418,865,BLISS-52,A Study of Belimumab in Subjects With Systemic Lupus Erythematosus (SLE),0.483,OK
BELIMUMAB_SLE_REVIEW.html,NCT00410384,BLISS-76,392,819,BLISS-76,A Study of Belimumab in Subjects With Systemic Lupus Erythematosus,0.479,OK
BELIMUMAB_SLE_REVIEW.html,NCT01484496,BLISS-SC,836,839,BLISS-SC,A Study of Belimumab Administered Subcutaneously in Subjects With Systemic Lupus,0.996,OK
BELIMUMAB_SLE_REVIEW.html,NCT01639339,BLISS-LN,446,448,BLISS-LN,Efficacy and Safety of Belimumab in Patients With Active Lupus Nephritis,0.996,OK
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03370133,BE-VIVID,404,567,BE VIVID,A Study to Evaluate the Efficacy and Safety of Bimekizumab Compared to Placebo a,0.713,OK
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03410992,BE-READY,435,435,BE READY,A Study With a Initial Treatment Period Followed by a Randomized-withdrawal Peri,1.0,OK
BIMEKIZUMAB_PSORIASIS_REVIEW.html,NCT03412747,BE-SURE,478,478,BE SURE,A Study to Evaluate the Efficacy and Safety of Bimekizumab in Adult Subjects Wit,1.0,OK
BIOLOGIC_ASTHMA_REVIEW.html,NCT01691521,MENSA,576,580,,Efficacy and Safety Study of Mepolizumab Adjunctive Therapy in Subjects With Sev,0.993,OK
BIOLOGIC_ASTHMA_REVIEW.html,NCT01914757,CALIMA,487,2508,,Efficacy and Safety Study of Benralizumab in Adults and Adolescents Inadequately,0.194,OUTLIER
BIOLOGIC_ASTHMA_REVIEW.html,NCT02414854,QUEST,952,1902,,Evaluation of Dupilumab in Patients With Persistent Asthma (Liberty Asthma Quest,0.501,OK
BIOLOGIC_ASTHMA_REVIEW.html,NCT03347279,NAVIGATOR,1059,1061,NAVIGATOR,Study to Evaluate Tezepelumab in Adults & Adolescents With Severe Uncontrolled A,0.998,OK
BPAL_MDRTB_REVIEW.html,NCT02589782,TB-PRACTECAL,251,552,TB-PRACTECAL,Pragmatic Clinical Trial for a More Effective Concise and Less Toxic MDR-TB Trea,0.455,OK
BPAL_MDRTB_REVIEW.html,NCT02409290,STREAM-2,409,588,STREAM,The Evaluation of a Standard Treatment Regimen of Anti-tuberculosis Drugs for Pa,0.696,OK
BPAL_MDRTB_REVIEW.html,NCT02754765,endTB-MDR,306,754,endTB,Evaluating Newly Approved Drugs for Multidrug-resistant TB,0.406,OK
BTKI_CLL_NMA_REVIEW.html,NCT02475681,ELEVATE-TN,356,535,ElevateTN,"Acalabrutinib, Obinutuzumab and Chlorambucil in Treatment naïve CLL",0.665,OK
BTKI_CLL_NMA_REVIEW.html,NCT02477696,ELEVATE-RR,533,533,,Study of Acalabrutinib (ACP-196) Versus Ibrutinib in Previously Treated Particip,1.0,OK
BTKI_CLL_NMA_REVIEW.html,NCT03734016,ALPINE,652,652,ALPINE,A Study of Zanubrutinib (BGB-3111) Versus Ibrutinib in Participants With Relapse,1.0,OK
BTKI_CLL_NMA_REVIEW.html,NCT01722487,RESONATE-2,269,269,,Open-label Phase 3 BTK Inhibitor Ibrutinib vs Chlorambucil Patients 65 Years or ,1.0,OK
BTKI_CLL_NMA_REVIEW.html,NCT03336333,SEQUOIA,479,590,SEQUOIA,A Study Comparing Zanubrutinib With Bendamustine Plus Rituximab in Participants ,0.812,OK
BTKI_CLL_NMA_REVIEW.html,NCT01578707,RESONATE,391,391,RESONATE™,A Phase 3 Study of Ibrutinib (PCI-32765) Versus Ofatumumab in Patients With Rela,1.0,OK
BTKI_CLL_NMA_REVIEW.html,NCT02970318,ASCEND,310,310,,A Study of Acalabrutinib vs Investigator's Choice of Idelalisib Plus Rituximab o,1.0,OK
CAB_PREP_HIV_REVIEW.html,NCT02720094,HPTN 083,4566,4570,,Injectable Cabotegravir Compared to TDF/FTC For PrEP in HIV-Uninfected Men and T,0.999,OK
CAB_PREP_HIV_REVIEW.html,NCT03164564,HPTN 084,3224,3224,,Evaluating the Safety and Efficacy of Long-Acting Injectable Cabotegravir Compar,1.0,OK
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02951052,ATLAS,616,618,,"Study Evaluating the Efficacy, Safety, and Tolerability of Switching to Long-act",0.997,OK
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,FLAIR,566,631,,"Study to Evaluate the Efficacy, Safety, and Tolerability of Long-acting Intramus",0.897,OK
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT03299049,ATLAS-2M,1045,1049,ATLAS-2M,"Efficacy, Safety and Tolerability Study of Long-acting Cabotegravir Plus Long-ac",0.996,OK
CANGRELOR_PCI_REVIEW.html,NCT00305162,CHAMPION-PCI,8925,8882,PCI,A Clinical Trial to Demonstrate the Efficacy of Cangrelor,1.005,OK
CANGRELOR_PCI_REVIEW.html,NCT00385138,CHAMPION-PLATFORM,5295,5364,Platform,Cangrelor Versus Standard Therapy to Achieve Optimal Management of Platelet Inhi,0.987,OK
CANGRELOR_PCI_REVIEW.html,NCT01156571,CHAMPION-PHOENIX,10942,11145,CHAMPION,A Clinical Trial Comparing Cangrelor to Clopidogrel Standard Therapy in Subjects,0.982,OK
CAPIVASERTIB_BC_REVIEW.html,NCT04305496,CAPItello-291,708,818,CAPItello-291,Capivasertib+Fulvestrant vs Placebo+Fulvestrant as Treatment for Locally Advance,0.866,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02540993,FIDELIO-DKD,5674,5734,FIDELIO-DKD,Efficacy and Safety of Finerenone in Subjects With Type 2 Diabetes Mellitus and ,0.99,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02545049,FIGARO-DKD,7352,7352,FIGARO-DKD,Efficacy and Safety of Finerenone in Subjects With Type 2 Diabetes Mellitus and ,1.0,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02065791,CREDENCE,4401,4401,CREDENCE,Evaluation of the Effects of Canagliflozin on Renal and Cardiovascular Outcomes ,1.0,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03036150,DAPA-CKD,4304,4304,Dapa-CKD,A Study to Evaluate the Effect of Dapagliflozin on Renal Outcomes and Cardiovasc,1.0,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03594110,EMPA-KIDNEY,6609,6609,,EMPA-KIDNEY (The Study of Heart and Kidney Protection With Empagliflozin),1.0,OK
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03819153,FLOW,3533,3533,FLOW,A Research Study to See How Semaglutide Works Compared to Placebo in People With,1.0,OK
CART_DLBCL_REVIEW.html,NCT03391466,ZUMA-7,359,359,ZUMA-7,Study of Effectiveness of Axicabtagene Ciloleucel Compared to Standard of Care T,1.0,OK
CART_DLBCL_REVIEW.html,NCT03575351,TRANSFORM,184,184,TRANSFORM,A Study to Compare the Efficacy and Safety of JCAR017 to Standard of Care in Adu,1.0,OK
CART_DLBCL_REVIEW.html,NCT03570892,BELINDA,322,330,BELINDA,Tisagenlecleucel in Adult Patients With Aggressive B-cell Non-Hodgkin Lymphoma,0.976,OK
CART_MM_REVIEW.html,NCT04181827,CARTITUDE-4,419,419,CARTITUDE-4,"A Study Comparing JNJ-68284528, a CAR-T Therapy Directed Against B-cell Maturati",1.0,OK
CART_MM_REVIEW.html,NCT03651128,KarMMa-3,386,381,KarMMa-3,Efficacy and Safety Study of bb2121 Versus Standard Regimens in Subjects With Re,1.013,OK
CBD_SEIZURE_REVIEW.html,NCT02091375,GWPCARE1,120,120,,Antiepileptic Efficacy Study of GWP42003-P in Children and Young Adults With Dra,1.0,OK
CBD_SEIZURE_REVIEW.html,NCT02224690,GWPCARE2,132,171,GWPCARE4,A Study to Investigate the Efficacy and Safety of Cannabidiol (GWP42003-P; CBD) ,0.772,OK
CBD_SEIZURE_REVIEW.html,NCT02224560,GWPCARE3,149,225,GWPCARE3,Efficacy and Safety of GWP42003-P for Seizures Associated With Lennox-Gastaut Sy,0.662,OK
CBD_SEIZURE_REVIEW.html,NCT02224703,GWPCARE4,171,199,,GWPCARE2 A Study to Investigate the Efficacy and Safety of Cannabidiol (GWP42003,0.859,OK
CD_BIOLOGICS_NMA_REVIEW.html,NCT00055497,ACCENT-1,573,276,CLASSICII,"Remission in Subjects With Crohn's Disease, 1 Year Phase",2.076,OUTLIER
CD_BIOLOGICS_NMA_REVIEW.html,NCT00077779,CLASSIC-1,148,854,CHARM,Adalimumab for the Induction and Maintenance of Clinical Remission in Subjects W,0.173,OUTLIER
CD_BIOLOGICS_NMA_REVIEW.html,NCT00152490,PRECiSE-1,662,604,,A Study to Test the Effect of CDP870 in the Treatment of Crohn's Disease Over 26,1.096,OK
CD_BIOLOGICS_NMA_REVIEW.html,NCT01224171,GEMINI-2,368,416,GEMINI III,Study of Vedolizumab in Patients With Moderate to Severe Crohn's Disease,0.885,OK
CD_BIOLOGICS_NMA_REVIEW.html,NCT01369329,UNITI-1,496,769,,A Study to Evaluate the Safety and Efficacy of Ustekinumab in Patients With Mode,0.645,OK
CD_BIOLOGICS_NMA_REVIEW.html,NCT03105128,ADVANCE,547,931,,A Study of the Efficacy and Safety of Risankizumab in Participants With Moderate,0.588,OK
CD_BIOLOGICS_NMA_REVIEW.html,NCT03345849,U-EXCEL,483,526,U-EXCEL,A Study of the Efficacy and Safety of Upadacitinib in Participants With Moderate,0.918,OK
CDK46_MBC_REVIEW.html,NCT01740427,PALOMA-2,666,666,,A Study of Palbociclib (PD-0332991) + Letrozole vs. Letrozole For 1st Line Treat,1.0,OK
CDK46_MBC_REVIEW.html,NCT01958021,MONALEESA-2,668,668,MONALEESA-2,Study of Efficacy and Safety of LEE011 in Postmenopausal Women With Advanced Bre,1.0,OK
CDK46_MBC_REVIEW.html,NCT02246621,MONARCH-3,493,493,MONARCH 3,A Study of Nonsteroidal Aromatase Inhibitors Plus Abemaciclib (LY2835219) in Pos,1.0,OK
CFTR_CF_REVIEW.html,NCT00909220,STRIVE-CF,161,77,,Using Affective Differences to Predict Response to Behavioral Treatment for Majo,2.091,OUTLIER
CFTR_CF_REVIEW.html,NCT03525444,VX17-445-102,403,405,,A Phase 3 Study of VX-445 Combination Therapy in Subjects With Cystic Fibrosis H,0.995,OK
