file,base_nct,names,total,ctg_enrollment,ctg_acronym,ctg_title,ratio,category
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,356,535,ElevateTN,"Acalabrutinib, Obinutuzumab and Chlorambucil in Treatment naïve CLL",0.665,OK
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,310,310,,A Study of Acalabrutinib vs Investigator's Choice of Idelalisib Plus Rituximab o,1.0,OK
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,632,632,ATTRibute-CM,Efficacy and Safety of AG10 in Subjects With Transthyretin Amyloid Cardiomyopath,1.0,OK
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,18624,18624,PLATO,A Comparison of Ticagrelor (AZD6140) and Clopidogrel in Patients With Acute Coro,1.0,OK
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,13608,13619,,A Comparison of Prasugrel (CS-747) and Clopidogrel in Acute Coronary Syndrome Su,0.999,OK
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,4018,4018,ISAR-REACT 5,"Prospective, Randomized Trial of Ticagrelor Versus Prasugrel in Patients With Ac",1.0,OK
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,7119,9006,TWILIGHT,Ticagrelor With Aspirin or Alone in High-Risk Patients After Coronary Interventi,0.79,OK
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,1486,1486,,A Study of Trastuzumab Emtansine Versus Trastuzumab as Adjuvant Therapy in Patie,1.0,OK
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,557,557,,Trastuzumab Deruxtecan (DS-8201a) Versus Investigator's Choice for HER2-low Brea,1.0,OK
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,866,866,DB-06,Study of Trastuzumab Deruxtecan (T-DXd) vs Investigator's Choice Chemotherapy in,1.0,OK
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,524,524,,DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positi,1.0,OK
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,991,991,EMILIA,A Study of Trastuzumab Emtansine Versus Capecitabine + Lapatinib in Participants,1.0,OK
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,602,602,TH3RESA,A Study of Trastuzumab Emtansine in Comparison With Treatment of Physician's Cho,1.0,OK
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,608,608,,DS-8201a in Pre-treated HER2 Breast Cancer That Cannot be Surgically Removed or ,1.0,OK
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,1019,1019,,Study of Pembrolizumab (MK-3475) Versus Placebo After Complete Resection of High,1.0,OK
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,906,906,CheckMate 238,Efficacy Study of Nivolumab Compared to Ipilimumab in Prevention of Recurrence o,1.0,OK
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,870,870,COMBI-AD,Dabrafenib With Trametinib in the Adjuvant Treatment of High-risk BRAF V600 Muta,1.0,OK
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,282,282,SEQUOIA-HCM,Phase 3 Trial to Evaluate the Efficacy and Safety of Aficamten Compared to Place,1.0,OK
AFLIBERCEPT_HD_REVIEW.html,NCT04964089,PULSAR,671,557,DAYLIGHT,A Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared Wit,1.205,OUTLIER
AFLIBERCEPT_HD_REVIEW.html,NCT04429503,PHOTON,495,660,PHOTON,Study of a High-Dose Aflibercept in Participants With Diabetic Eye Disease,0.75,OK
ALDO_SYNTHASE_NMA_REVIEW.html,NCT05137002,BrigHTN,248,249,HALO,A Study of CIN-107 in Patients With Uncontrolled Hypertension,0.996,OK
