card_idx,dashboard,trial_name,current_pmid,status,decision,decided_pmid,decided_url,decider_id,decided_at_iso,note
1,ABLATION_AF_REVIEW.html,RAFT-AF,35313733,NO_PUBMED_HITS,,,,,,
2,ACORAMIDIS_ATTR_CM_REVIEW.html,ATTRibute-CM,38842402,PROBABLE,,,,,,
3,ADC_HER2_NMA_REVIEW.html,DESTINY-Breast03,36495879,PROBABLE,,,,,,
4,AFICAMTEN_HCM_REVIEW.html,SEQUOIA-HCM,38754167,PROBABLE,,,,,,
5,ALDO_SYNTHASE_NMA_REVIEW.html,BrigHTN,36302086,PROBABLE,,,,,,
6,ALK_NSCLC_NMA_REVIEW.html,eXalt3,34516551,NO_PUBMED_HITS,,,,,,
7,ALOPECIA_JAKI_NMA_REVIEW.html,ALLEGRO-2b/3,37148884,PROBABLE,,,,,,
8,ALOPECIA_JAKI_NMA_REVIEW.html,THRIVE-AA1,37423283,NO_PUBMED_HITS,,,,,,
9,ALOPECIA_JAKI_NMA_REVIEW.html,THRIVE-AA2,37423283,NO_PUBMED_HITS,,,,,,
10,ANTIAMYLOID_AD_REVIEW.html,EMERGE,34807243,NO_PUBMED_HITS,,,,,,
11,ANTIAMYLOID_AD_REVIEW.html,ENGAGE,34807243,NO_PUBMED_HITS,,,,,,
12,ANTI_CD20_MS_NMA_REVIEW.html,ULTIMATE I,36044451,PROBABLE,,,,,,
13,ANTI_CD20_MS_NMA_REVIEW.html,ULTIMATE II,36044451,PROBABLE,,,,,,
14,ARNI_HF_REVIEW.html,PARAGLIDE-HF,37212758,PROBABLE,,,,,,
15,ARPI_NMCRPC_REVIEW.html,ARAMIS,30806750,PROBABLE,,,,,,
16,ARPI_mHSPC_REVIEW.html,LATITUDE,30987939,NO_PUBMED_HITS,,,,,,
17,ATOPIC_DERM_NMA_REVIEW.html,BREEZE-AD1,34437922,PROBABLE,,,,,,
18,ATOPIC_DERM_NMA_REVIEW.html,MeasureUp-1,35262646,NO_PUBMED_HITS,,,,,,
19,ATTR_CM_NMA_REVIEW.html,ATTRibute-CM,38197859,PROBABLE,,,,,,
20,ATTR_PN_NMA_REVIEW.html,NEURO-TTRansform,37815926,PROBABLE,,,,,,
21,AVACINCAPTAD_GA_REVIEW.html,GATHER-1,37597519,NO_PUBMED_HITS,,,,,,
22,AVACINCAPTAD_GA_REVIEW.html,GATHER-2,37597519,NO_PUBMED_HITS,,,,,,
23,AZITHROMYCIN_CHILD_MORTALITY_REVIEW.html,AVENIR,38913641,NO_PUBMED_HITS,,,,,,
24,BEMPEDOIC_ACID_REVIEW.html,CLEAR Serenity,32609313,NO_PUBMED_HITS,,,,,,
25,BIMEKIZUMAB_PSORIASIS_REVIEW.html,BE-SURE,34260840,NO_PUBMED_HITS,,,,,,
26,BPAL_MDRTB_REVIEW.html,STREAM-2,36368333,NO_PUBMED_HITS,,,,,,
27,BTKI_CLL_NMA_REVIEW.html,RESONATE-2,24881631,NO_PUBMED_HITS,,,,,,
28,CABOTEGRAVIR_HIV_ART_REVIEW.html,ATLAS,32130806,PROBABLE,,,,,,
29,CABOTEGRAVIR_HIV_ART_REVIEW.html,FLAIR,32130807,NO_PUBMED_HITS,,,,,,
30,CAPIVASERTIB_BC_REVIEW.html,CAPItello-291,37256974,PROBABLE,,,,,,
31,CARDIORENAL_DKD_NMA_REVIEW.html,FIGARO-DKD,34775784,PROBABLE,,,,,,
32,CARDIORENAL_DKD_NMA_REVIEW.html,FLOW,39222642,PROBABLE,,,,,,
33,CBD_SEIZURE_REVIEW.html,GWPCARE2,29395273,NO_PUBMED_HITS,,,,,,
34,CBD_SEIZURE_REVIEW.html,GWPCARE3,29768152,NO_PUBMED_HITS,,,,,,
35,CBD_SEIZURE_REVIEW.html,GWPCARE4,32119035,NO_PUBMED_HITS,,,,,,
36,CD_BIOLOGICS_NMA_REVIEW.html,CLASSIC-1,19201775,NO_PUBMED_HITS,,,,,,
37,CD_BIOLOGICS_NMA_REVIEW.html,GEMINI-2,24859203,PROBABLE,,,,,,
38,CFTR_CF_REVIEW.html,VX17-445-103,31679946,NO_PUBMED_HITS,,,,,,
39,COPD_TRIPLE_REVIEW.html,IMPACT,31281061,PROBABLE,,,,,,
40,DOAC_CANCER_VTE_REVIEW.html,ADAM VTE,30898209,NO_PUBMED_HITS,,,,,,
41,DOAC_CANCER_VTE_REVIEW.html,SELECT-D,30786722,NO_PUBMED_HITS,,,,,,
42,DOLUTEGRAVIR_ART_SSA_REVIEW.html,IMPAACT 2010,33812489,NO_PUBMED_HITS,,,,,,
43,DOLUTEGRAVIR_ART_SSA_REVIEW.html,NAMSAL,31339674,AMBIGUOUS,,,,,,
44,ENSIFENTRINE_COPD_REVIEW.html,ENHANCE-1,37938943,NO_PUBMED_HITS,,,,,,
45,ENSIFENTRINE_COPD_REVIEW.html,ENHANCE-2,37938943,NO_PUBMED_HITS,,,,,,
46,ESKETAMINE_TRD_REVIEW.html,TRANSFORM-2,30447328,NO_PUBMED_HITS,,,,,,
47,ESKETAMINE_TRD_REVIEW.html,TRANSFORM-3,30447328,NO_PUBMED_HITS,,,,,,
48,FENFLURAMINE_SEIZURE_REVIEW.html,Study 2 (Dravet+stiripentol),31862249,NO_PUBMED_HITS,,,,,,
49,FRAGILITY_FRACTURE_NMA_REVIEW.html,ACTIVE,29028063,PROBABLE,,,,,,
50,GLP1_MASH_NMA_REVIEW.html,ESSENCE,39282897,PROBABLE,,,,,,
51,GLP1_MASH_NMA_REVIEW.html,SYNERGY-NASH,38842432,PROBABLE,,,,,,
52,HCC_1L_NMA_REVIEW.html,CheckMate 9DW,39245040,NO_PUBMED_HITS,,,,,,
53,HER2_LOW_ADC_NMA_REVIEW.html,DESTINY-Breast06,39282896,AMBIGUOUS,,,,,,
54,HER2_LOW_ADC_NMA_REVIEW.html,TROPION-Breast01,39226544,PROBABLE,,,,,,
55,HF_QUADRUPLE_NMA_REVIEW.html,DELIVER,36027562,PROBABLE,,,,,,
56,HF_QUADRUPLE_NMA_REVIEW.html,FINEARTS-HF,39213592,PROBABLE,,,,,,
57,HIFPH_CKD_ANEMIA_REVIEW.html,ASCEND-D,34739192,PROBABLE,,,,,,
58,HIFPH_CKD_ANEMIA_REVIEW.html,HIMALAYAS,33408137,PROBABLE,,,,,,
59,HIV_LA_PREP_NMA_REVIEW.html,PURPOSE-1,39046957,PROBABLE,,,,,,
60,HIV_LA_PREP_NMA_REVIEW.html,PURPOSE-2,39565037,PROBABLE,,,,,,
61,INAVOLISIB_BC_REVIEW.html,INAVO120,39282919,AMBIGUOUS,,,,,,
62,INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-3,29766634,NO_PUBMED_HITS,,,,,,
63,INCRETIN_HFpEF_REVIEW.html,STEP-HFpEF,38599221,NO_PUBMED_HITS,,,,,,
64,INCRETIN_HFpEF_REVIEW.html,STEP-HFpEF DM,38599221,NO_PUBMED_HITS,,,,,,
65,INCRETIN_HFpEF_REVIEW.html,SUMMIT,39555826,NO_PUBMED_HITS,,,,,,
66,INTENSIVE_BP_REVIEW.html,SPS3-BP,24168957,NO_PUBMED_HITS,,,,,,
67,IV_IRON_HF_REVIEW.html,HEART-FID,37632463,PROBABLE,,,,,,
68,JAKI_AD_NMA_REVIEW.html,BREEZE-AD1,32328972,PROBABLE,,,,,,
69,JAKI_AD_NMA_REVIEW.html,BREEZE-AD2,32328972,PROBABLE,,,,,,
70,JAKI_AD_NMA_REVIEW.html,Measure Up 1,34087125,NO_PUBMED_HITS,,,,,,
71,JAKI_AD_NMA_REVIEW.html,Measure Up 2,34087125,NO_PUBMED_HITS,,,,,,
72,JAKI_AD_REVIEW.html,MEASURE-UP 1,35262646,NO_PUBMED_HITS,,,,,,
73,JAKI_AD_REVIEW.html,MEASURE-UP 2,35262646,NO_PUBMED_HITS,,,,,,
74,JAKI_RA_NMA_REVIEW.html,FINCH-1,31334793,NO_PUBMED_HITS,,,,,,
75,JAK_RA_REVIEW.html,FINCH-1,31334793,NO_PUBMED_HITS,,,,,,
76,KRAS_G12C_NMA_REVIEW.html,CodeBreaK 200,37582415,NO_PUBMED_HITS,,,,,,
77,LENACAPAVIR_PREP_REVIEW.html,PURPOSE-2,39602624,PROBABLE,,,,,,
78,MALARIA_VACCINES_NMA_REVIEW.html,R21 Phase 3,38346856,NO_PUBMED_HITS,,,,,,
79,MAVACAMTEN_HCM_REVIEW.html,MAVA-LTE,38176782,AMBIGUOUS,,,,,,
80,MAVACAMTEN_HCM_REVIEW.html,VALOR-HCM,37639243,PROBABLE,,,,,,
81,MIGRAINE_ACUTE_NMA_REVIEW.html,ACHIEVE I,31816158,NO_PUBMED_HITS,,,,,,
82,MIGRAINE_ACUTE_NMA_REVIEW.html,ACHIEVE II,31821278,NO_PUBMED_HITS,,,,,,
83,MIGRAINE_ACUTE_NMA_REVIEW.html,Rimegepant Study 303,30699266,NO_PUBMED_HITS,,,,,,
84,MIGRAINE_ACUTE_NMA_REVIEW.html,SAMURAI,31466997,NO_PUBMED_HITS,,,,,,
85,MIRVETUXIMAB_OVARIAN_REVIEW.html,MIRASOL,38567989,PROBABLE,,,,,,
86,MITAPIVAT_THALASSEMIA_REVIEW.html,ENERGIZE,39349100,NO_PUBMED_HITS,,,,,,
87,MM_1L_NMA_REVIEW.html,IMROZ,38842558,PROBABLE,,,,,,
88,MM_1L_NMA_REVIEW.html,MAIA,30790663,PROBABLE,,,,,,
89,PARP_ARPI_MCRPC_REVIEW.html,PROpel,37714168,NO_PUBMED_HITS,,,,,,
90,PATISIRAN_POLYNEUROPATHY_REVIEW.html,HELIOS-A,33983835,PROBABLE,,,,,,
91,PCSK9_LIPID_NMA_REVIEW.html,IMPROVE-IT,28845751,PROBABLE,,,,,,
92,PI3K_AKT_BC_REVIEW.html,INAVO120,39413375,PROBABLE,,,,,,
93,PSA_BIOLOGICS_NMA_REVIEW.html,BE OPTIMAL,37541749,NO_PUBMED_HITS,,,,,,
