card_idx,dashboard,trial_name,current_pmid,status,decision,decided_pmid,decided_url,decider_id,decided_at_iso,note
94,PSA_BIOLOGICS_NMA_REVIEW.html,SELECT-PsA 1,33870643,PROBABLE,,,,,,
95,RENAL_DENERV_REVIEW.html,RADIANCE II,36853250,PROBABLE,,,,,,
96,RENAL_DENERV_REVIEW.html,REQUIRE,34654905,NO_PUBMED_HITS,,,,,,
97,RESMETIROM_MASH_REVIEW.html,MAESTRO-NASH,38231248,PROBABLE,,,,,,
98,ROMOSOZUMAB_OP_REVIEW.html,BRIDGE,28689769,PROBABLE,,,,,,
99,SGLT2I_HF_NMA_REVIEW.html,DELIVER,36029465,PROBABLE,,,,,,
100,SPARSENTAN_IGAN_REVIEW.html,PROTECT,37182529,PROBABLE,,,,,,
101,SPONDYLOARTHRITIS_NMA_REVIEW.html,BE MOBILE 1,37541748,NO_PUBMED_HITS,,,,,,
102,SPONDYLOARTHRITIS_NMA_REVIEW.html,BE MOBILE 2,37541748,NO_PUBMED_HITS,,,,,,
103,TARLATAMAB_SCLC_REVIEW.html,DeLLphi-301,37861213,PROBABLE,,,,,,
104,TDXD_HER2LOW_BC_REVIEW.html,DESTINY-Breast06,39282896,AMBIGUOUS,,,,,,
105,TYVAC_TYPHOID_REVIEW.html,TyVAC Bangladesh,34384550,NO_PUBMED_HITS,,,,,,
106,TYVAC_TYPHOID_REVIEW.html,TyVAC Malawi,34525286,NO_PUBMED_HITS,,,,,,
107,TYVAC_TYPHOID_REVIEW.html,TyVAC Nepal,31800954,AMBIGUOUS,,,,,,
108,VENETOCLAX_CLL_REVIEW.html,CLL14,31141626,NO_PUBMED_HITS,,,,,,
109,ZURANOLONE_PPD_REVIEW.html,ROBIN,34464547,NO_PUBMED_HITS,,,,,,
110,ZURANOLONE_PPD_REVIEW.html,SKYLARK,37551612,NO_PUBMED_HITS,,,,,,
