file,key,claim_name,claim_year,pmid,verdict,pubmed_title,pubmed_year,pubmed_journal,pubmed_first_author,year_diff,title_token_overlap,authors_in_snippet
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,2020,32305093,OK,Acalabrutinib with or without obinutuzumab versus chlorambucil and obinutuzmab for treatment-naive c,2020,Lancet,Sharman JP,0,1,0
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,2020,32459600,OK,"ASCEND: Phase III, Randomized Trial of Acalabrutinib Versus Idelalisib Plus Rituximab or Bendamustin",2020,J Clin Oncol,Ghia P,0,1,0
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,2024,38842402,TRIAL_PMID_MISALIGNED,Schwannian and Perineuriomatous Differentiation in a Series of Giant Congenital Melanocytic Nevi.,2024,Am J Dermatopathol,Kletskaya I,0,0,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00391872,PLATO,2009,19717846,TRIAL_PMID_MISALIGNED,Ticagrelor versus clopidogrel in patients with acute coronary syndromes.,2009,N Engl J Med,Wallentin L,0,0,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT00097591,TRITON-TIMI 38,2007,17982182,TRIAL_PMID_MISALIGNED,Prasugrel versus clopidogrel in patients with acute coronary syndromes.,2007,N Engl J Med,Wiviott SD,0,0,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT01944800,ISAR-REACT 5,2019,31475799,TRIAL_PMID_MISALIGNED,Ticagrelor or Prasugrel in Patients with Acute Coronary Syndromes.,2019,N Engl J Med,Schüpke S,0,0,0
ACS_ANTIPLATELET_NMA_REVIEW.html,NCT02270242,TWILIGHT,2019,31556978,TRIAL_PMID_MISALIGNED,Ticagrelor with or without Aspirin in High-Risk Patients after PCI.,2019,N Engl J Med,Mehran R,0,0,0
ADC_HER2_ADJUVANT_NMA_REVIEW.html,NCT01772472,KATHERINE,2019,30516102,TRIAL_PMID_MISALIGNED,Trastuzumab Emtansine for Residual Invasive HER2-Positive Breast Cancer.,2019,N Engl J Med,von Minckwitz G,0,0,0
ADC_HER2_LOW_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,2022,35665782,TRIAL_PMID_MISALIGNED,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer.,2022,N Engl J Med,Modi S,0,0,0
ADC_HER2_LOW_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,2024,39282896,TRIAL_PMID_MISALIGNED,Trastuzumab Deruxtecan after Endocrine Therapy in Metastatic Breast Cancer.,2024,N Engl J Med,Bardia A,0,0,0
