file,nct,name,rob_class,rob_raw
ACALABRUTINIB_CLL_REVIEW.html,NCT02475681,ELEVATE-TN,NO_ROB,
ACALABRUTINIB_CLL_REVIEW.html,NCT02970318,ASCEND,NO_ROB,
ACORAMIDIS_ATTR_CM_REVIEW.html,NCT03860935,ATTRibute-CM,NO_ROB,
ACS_ANTIPLATELET_REVIEW.html,NCT00391872,PLATO,NO_ROB,
ACS_ANTIPLATELET_REVIEW.html,NCT00097591,TRITON-TIMI 38,NO_ROB,
ACS_ANTIPLATELET_REVIEW.html,NCT01944800,ISAR-REACT 5,NO_ROB,
ACS_ANTIPLATELET_REVIEW.html,NCT02270242,TWILIGHT,NO_ROB,
ADC_HER2_ADJUVANT_REVIEW.html,NCT01772472,KATHERINE,NO_ROB,
ADC_HER2_LOW_REVIEW.html,NCT03734029,DESTINY-Breast04,NO_ROB,
ADC_HER2_LOW_REVIEW.html,NCT04494425,DESTINY-Breast06,NO_ROB,
ADC_HER2_NMA_REVIEW.html,NCT03529110,DESTINY-Breast03,NO_ROB,
ADC_HER2_NMA_REVIEW.html,NCT00829166,EMILIA,NO_ROB,
ADC_HER2_NMA_REVIEW.html,NCT01419197,TH3RESA,NO_ROB,
ADC_HER2_NMA_REVIEW.html,NCT03523585,DESTINY-Breast02,NO_ROB,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02362594,KEYNOTE-054,NO_ROB,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT02388906,CheckMate-238,NO_ROB,
ADJUVANT_IO_MELANOMA_REVIEW.html,NCT01682083,COMBI-AD,NO_ROB,
AFICAMTEN_HCM_REVIEW.html,NCT05186818,SEQUOIA-HCM,NO_ROB,
AFLIBERCEPT_HD_REVIEW.html,NCT04423718,PULSAR,NO_ROB,
AFLIBERCEPT_HD_REVIEW.html,NCT04429503,PHOTON,NO_ROB,
AGYW_HIV_PREP_REVIEW.html,NCT02732730,"HPTN 082 (oral PrEP, AGYW)",NO_ROB,
AGYW_HIV_PREP_REVIEW.html,NCT01386294,"FACTS-001 (vaginal tenofovir gel, AGYW)",NO_ROB,
ALDO_SYNTHASE_REVIEW.html,NCT05137002,BrigHTN,NO_ROB,
ALDO_SYNTHASE_REVIEW.html,NCT05001945,Target-HTN,NO_ROB,
ALK_NSCLC_REVIEW.html,NCT02075840,ALEX,NO_ROB,
ALK_NSCLC_REVIEW.html,NCT02737501,ALTA-1L,NO_ROB,
ALK_NSCLC_REVIEW.html,NCT03052608,CROWN,NO_ROB,
ALK_NSCLC_REVIEW.html,NCT02767804,eXalt3,NO_ROB,
ALOPECIA_JAKI_REVIEW.html,NCT03570749,BRAVE-AA1,NO_ROB,
ALOPECIA_JAKI_REVIEW.html,NCT03899259,BRAVE-AA2,NO_ROB,
ALOPECIA_JAKI_REVIEW.html,NCT03732807,ALLEGRO-2b/3,NO_ROB,
ALOPECIA_JAKI_REVIEW.html,NCT04518995,THRIVE-AA1,NO_ROB,
ALOPECIA_JAKI_REVIEW.html,NCT04797650,THRIVE-AA2,NO_ROB,
ANIFROLUMAB_SLE_REVIEW.html,NCT02446912,TULIP-1,NO_ROB,
ANIFROLUMAB_SLE_REVIEW.html,NCT02446899,TULIP-2,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT01247324,OPERA I,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT01412333,OPERA II,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT02792218,ASCLEPIOS I,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT02792231,ASCLEPIOS II,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT03277261,ULTIMATE I,NO_ROB,
ANTI_CD20_MS_REVIEW.html,NCT03277248,ULTIMATE II,NO_ROB,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03887455,Clarity AD,NO_ROB,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT04437511,TRAILBLAZER-ALZ 2,NO_ROB,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02477800,EMERGE,NO_ROB,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT02484547,ENGAGE,NO_ROB,
ANTIAMYLOID_AD_NMA_REVIEW.html,NCT03444870,GRADUATE I,NO_ROB,
