file,verdict,n_treatments,treatments,n_realdata_ncts,n_config_ncts,dropped_trials,notes
ACS_ANTIPLATELET_NMA_REVIEW.html,TRIALS_DROPPED(4),5,"Dabigatran, Rivaroxaban, Apixaban, Edoxaban, Warfarin",4,4,"NCT00097591, NCT00391872, NCT01944800, NCT02270242",json
ADC_HER2_NMA_REVIEW.html,OK,5,"T_DXd, T_DM1, LapaCape, TPC_chemo, TPC_Hplus_chemo",4,4,,json
ANTI_CD20_MS_NMA_REVIEW.html,TRIALS_DROPPED(6),6,"Tofacitinib, Baricitinib, Upadacitinib, Filgotinib, Adalimumab, Placebo",6,5,"NCT01247324, NCT01412333, NCT02792218, NCT02792231, NCT03277248, NCT03277261",json
ANTIAMYLOID_AD_NMA_REVIEW.html,OK,6,"Lecanemab, Donanemab, Aducanumab, Placebo, Gantenerumab, Solanezumab",7,7,,json
ANTIPSYCHOTICS_SCHIZO_NMA_REVIEW.html,OK,9,"Olanzapine, Risperidone, Quetiapine, Aripiprazole, Ziprasidone, Paliperidone...",0,0,,json
ANTIVEGF_NAMD_NMA_REVIEW.html,OK,8,"Ranibizumab, Aflibercept_2mg, Aflibercept_8mg, Faricimab, Brolucizumab, Bevacizumab...",10,10,,json
ATOPIC_DERM_NMA_REVIEW.html,OK,8,"Dupilumab, Tralokinumab, Lebrikizumab, Nemolizumab, Abrocitinib, Upadacitinib...",7,7,,json
BTKI_CLL_NMA_REVIEW.html,OK,8,"Acalabrutinib, Ibrutinib, Zanubrutinib, Clb_alone, Clb_Obi, BR...",7,7,,json
CARDIORENAL_DKD_NMA_REVIEW.html,OK,6,"Finerenone, Canagliflozin, Dapagliflozin, Empagliflozin, Semaglutide, Placebo",6,6,,json
CD_BIOLOGICS_NMA_REVIEW.html,OK,8,"Infliximab, Adalimumab, Certolizumab, Vedolizumab, Ustekinumab, Risankizumab...",5,5,,json
CFTR_MODULATORS_NMA_REVIEW.html,OK,4,"LumaIva, TezaIva, ElexTezIva, Placebo",3,3,,json
CGRP_MIGRAINE_NMA_REVIEW.html,OK,5,"Erenumab, Fremanezumab, Galcanezumab, Eptinezumab, Placebo",4,4,,json
CRYPTOCOCCAL_MENINGITIS_AFRICA_NMA_REVIEW.html,TRIALS_DROPPED(1),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",1,6,NCT01075152,json
DIABETIC_MACULAR_EDEMA_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT01627249, NCT03622580, NCT03622593",json
DIABETIC_RETINOPATHY_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT01489189, NCT02634333, NCT02718326",json
DOAC_AF_NMA_REVIEW.html,OK,5,"Dabigatran, Rivaroxaban, Apixaban, Edoxaban, Warfarin",4,4,,json
DOAC_VTE_NMA_REVIEW.html,OK,5,"Dabigatran, Rivaroxaban, Apixaban, Edoxaban, LMWHWarfarin",4,4,,json
GLP1_CVOT_NMA_REVIEW.html,OK,9,"Liraglutide, Semaglutide, OralSemaglutide, Dulaglutide, Lixisenatide, Albiglutide...",8,8,,json
GLP1_MASH_NMA_REVIEW.html,TRIALS_DROPPED(3),11,"Tirzepatide, Semaglutide, Dulaglutide, Liraglutide, Exenatide, Placebo...",3,17,"NCT02970942, NCT04166773, NCT04822181",json
HEMOPHILIA_GENE_THERAPY_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT03370913, NCT03569891, NCT04370054",json
HF_QUADRUPLE_NMA_REVIEW.html,TRIALS_DROPPED(2),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",6,6,"NCT01035255, NCT04435626",json
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT01468207, NCT01468233, NCT04242446",json
HIV_ART_TIMING_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00074581, NCT00495651, NCT00867048",json
HIV_PREP_INJECTABLE_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT02720094, NCT02842086, NCT03164564",json
HIV_TB_COINFECTION_ART_TIMING_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00091936, NCT00108862, NCT00226434",json
HPV_VACCINE_SCHEDULES_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00092534, NCT00122681, NCT03675256",json
HYDROCORTISONE_SEPTIC_SHOCK_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00625209, NCT00670254, NCT01448109",json
