file,verdict,n_treatments,treatments,n_realdata_ncts,n_config_ncts,dropped_trials,notes
ICU_SEDATION_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00466492, NCT01728558, NCT03653832",json
IL_PSORIASIS_NMA_REVIEW.html,OK,11,"Guselkumab, Risankizumab, Ixekizumab, Secukinumab, Bimekizumab, Adalimumab...",18,18,,json
INCRETINS_T2D_NMA_REVIEW.html,OK,11,"Tirzepatide, Semaglutide, Dulaglutide, Liraglutide, Exenatide, Placebo...",17,17,,json
JAKI_RA_NMA_REVIEW.html,OK,6,"Tofacitinib, Baricitinib, Upadacitinib, Filgotinib, Adalimumab, Placebo",4,5,,json
MALARIA_VACCINE_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00866619, NCT03896724, NCT04704830",json
MDR_TB_SHORTENED_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT02333799, NCT02589782, NCT03086486",json
MEDITERRANEAN_DIET_CV_NMA_REVIEW.html,TRIALS_DROPPED(1),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",1,6,NCT00924937,json
MIGRAINE_ACUTE_NMA_REVIEW.html,TRIALS_DROPPED(4),5,"Erenumab, Fremanezumab, Galcanezumab, Eptinezumab, Placebo",4,4,"NCT02867709, NCT03235479, NCT03461757, NCT03872453",json
OBESITY_DRUGS_NMA_REVIEW.html,TRIALS_DROPPED(3),11,"Tirzepatide, Semaglutide, Dulaglutide, Liraglutide, Exenatide, Placebo...",3,17,"NCT01272219, NCT03548935, NCT04184622",json
PAH_THERAPY_NMA_REVIEW.html,TRIALS_DROPPED(4),6,"Finerenone, Canagliflozin, Dapagliflozin, Empagliflozin, Semaglutide, Placebo",4,6,"NCT00660179, NCT00810693, NCT01106014, NCT04576988",json
PCSK9_LIPID_NMA_REVIEW.html,OK,5,"Ezetimibe, Evolocumab, Alirocumab, BempedoicAcid, Placebo",4,4,,json
PEDIATRIC_HIV_ART_NMA_REVIEW.html,TRIALS_DROPPED(1),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",1,6,NCT02259127,json
PHYSICAL_REHAB_OLDER_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00871715, NCT01072500, NCT02196038",json
POLYCYTHEMIA_VERA_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT01243944, NCT01949805, NCT02038036",json
POSTPARTUM_HEMORRHAGE_NMA_REVIEW.html,TRIALS_DROPPED(1),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",1,6,NCT04341662,json
PSA_BIOLOGICS_NMA_REVIEW.html,TRIALS_DROPPED(4),6,"Tofacitinib, Baricitinib, Upadacitinib, Filgotinib, Adalimumab, Placebo",4,5,"NCT01695239, NCT03104400, NCT03158285, NCT03895203",json
ROTAVIRUS_VACCINE_AFRICA_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00241644, NCT00362648, NCT02145000",json
SEPSIS_RESUSCITATION_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT01945983, NCT03434028, NCT03668236",json
SEVERE_ASTHMA_NMA_REVIEW.html,OK,6,"Mepolizumab, Reslizumab, Benralizumab, Dupilumab, Tezepelumab, Placebo",5,5,,json
SEVERE_PEDIATRIC_FEBRILE_AFRICA_NMA_REVIEW.html,OK,4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",0,6,,json
SGLT2I_HF_NMA_REVIEW.html,OK,4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",6,6,,json
SPONDYLOARTHRITIS_NMA_REVIEW.html,TRIALS_DROPPED(4),6,"Tofacitinib, Baricitinib, Upadacitinib, Filgotinib, Adalimumab, Placebo",4,5,"NCT02696785, NCT03928704, NCT03928743, NCT04169373",json
TB_PREVENTION_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT00023452, NCT01404312, NCT01582711",json
UC_BIOLOGICS_NMA_REVIEW.html,OK,10,"Infliximab, Adalimumab, Golimumab, Vedolizumab, Ustekinumab, Tofacitinib...",9,9,,json
VITAMIN_D_FRACTURE_FALL_NMA_REVIEW.html,TRIALS_DROPPED(1),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",1,6,NCT01169259,json
VITILIGO_NMA_REVIEW.html,TRIALS_DROPPED(3),4,"Dapagliflozin, Empagliflozin, Sotagliflozin, Placebo",3,6,"NCT04052425, NCT04057573, NCT04927975",json
