severity,code,review,scope,ncts,message
P1,R06,ACALABRUTINIB_CLL_REVIEW,review,,"Random-effects log-OR pool (0.119, k=2) diverges from median publishedHR (0.280) by |Δlog|=0.86"
P1,R06,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,review,,"Random-effects log-OR pool (14.605, k=10) diverges from median publishedHR (4.440) by |Δlog|=1.19"
P1,R06,ANTIAMYLOID_AD_REVIEW,review,,"Random-effects log-OR pool (0.992, k=2) diverges from median publishedHR (0.030) by |Δlog|=3.50"
P1,R06,ANTIFUNGAL_NEWER_RESISTANT_REVIEW,review,,"Random-effects log-OR pool (2.802, k=7) diverges from median publishedHR (1.390) by |Δlog|=0.70"
P1,R06,ANTIVEGF_NAMD_NMA_REVIEW,review,,"Random-effects log-OR pool (1.002, k=11) diverges from median publishedHR (0.600) by |Δlog|=0.51"
P1,R06,BIMEKIZUMAB_PSORIASIS_REVIEW,review,,"Random-effects log-OR pool (55.105, k=3) diverges from median publishedHR (17.620) by |Δlog|=1.14"
P1,R06,BISPECIFIC_LYMPHOMA_NMA_REVIEW,review,,"Random-effects log-OR pool (1.119, k=3) diverges from median publishedHR (0.620) by |Δlog|=0.59"
P1,R06,BPAL_MDRTB_REVIEW,review,,"Random-effects log-OR pool (2.956, k=3) diverges from median publishedHR (1.170) by |Δlog|=0.93"
P1,R06,C3G_COMPLEMENT_NMA_REVIEW,review,,"Random-effects log-OR pool (6.347, k=10) diverges from median publishedHR (2.400) by |Δlog|=0.97"
P1,R06,CAB_PREP_HIV_REVIEW,review,,"Random-effects log-OR pool (0.205, k=2) diverges from median publishedHR (0.340) by |Δlog|=0.51"
P1,R06,CARDIAC_CONTRACTILITY_MOD_NMA_REVIEW,review,,"Random-effects log-OR pool (103.192, k=10) diverges from median publishedHR (0.840) by |Δlog|=4.81"
P1,R06,CART_B_CELL_LYMPHOMA_REVIEW,review,,"Random-effects log-OR pool (0.396, k=5) diverges from median publishedHR (0.730) by |Δlog|=0.61"
P1,R06,CAR_T_LBCL_BROAD_NMA_REVIEW,review,,"Random-effects log-OR pool (0.374, k=3) diverges from median publishedHR (0.700) by |Δlog|=0.63"
P1,R06,CFTR_MODULATORS_NMA_REVIEW,review,,"Random-effects log-OR pool (0.794, k=3) diverges from median publishedHR (4.000) by |Δlog|=1.62"
P1,R06,CHRONIC_URTICARIA_BIOLOGICS_REVIEW,review,,"Random-effects log-OR pool (4.073, k=10) diverges from median publishedHR (2.090) by |Δlog|=0.67"
P1,R06,CONGENITAL_ADRENAL_HYPER_NMA_REVIEW,review,,"Random-effects log-OR pool (9.590, k=10) diverges from median publishedHR (4.500) by |Δlog|=0.76"
P1,R06,COPD_TRIPLE_REVIEW,review,,"Random-effects log-OR pool (0.233, k=3) diverges from median publishedHR (0.750) by |Δlog|=1.17"
P1,R06,COVID_ORAL_ANTIVIRALS_REVIEW,review,,"Random-effects log-OR pool (0.279, k=2) diverges from median publishedHR (0.690) by |Δlog|=0.90"
P1,R06,CTEPH_NMA_REVIEW,review,,"Random-effects log-OR pool (4.420, k=10) diverges from median publishedHR (48.000) by |Δlog|=2.39"
P1,R06,DERMATOMYOSITIS_NMA_REVIEW,review,,"Random-effects log-OR pool (3.010, k=9) diverges from median publishedHR (1.730) by |Δlog|=0.55"
P1,R06,DIABETIC_RETINOPATHY_REVIEW,review,,"Random-effects log-OR pool (1.011, k=3) diverges from median publishedHR (2.200) by |Δlog|=0.78"
P1,R06,DOLUTEGRAVIR_ART_SSA_REVIEW,review,,"Random-effects log-OR pool (1.965, k=3) diverges from median publishedHR (1.110) by |Δlog|=0.57"
P1,R06,DRY_EYE_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (2.760, k=10) diverges from median publishedHR (1.500) by |Δlog|=0.61"
P1,R06,DUPILUMAB_COPD_REVIEW,review,,"Random-effects log-OR pool (0.057, k=2) diverges from median publishedHR (0.700) by |Δlog|=2.50"
P1,R06,EGPA_BIOLOGIC_NMA_REVIEW,review,,"Random-effects log-OR pool (3.768, k=9) diverges from median publishedHR (1.830) by |Δlog|=0.72"
P1,R06,ENDOMETRIOSIS_NEW_GNRH_NMA_REVIEW,review,,"Random-effects log-OR pool (6.764, k=10) diverges from median publishedHR (2.770) by |Δlog|=0.89"
P1,R06,EOE_BIOLOGIC_NMA_REVIEW,review,,"Random-effects log-OR pool (27.927, k=9) diverges from median publishedHR (8.130) by |Δlog|=1.23"
P1,R06,EOSINOPHILIC_DISEASES_BROAD_REVIEW,review,,"Random-effects log-OR pool (8.490, k=11) diverges from median publishedHR (3.270) by |Δlog|=0.95"
P1,R06,EPILEPSY_NEW_AGENTS_NMA_REVIEW,review,,"Random-effects log-OR pool (5.668, k=10) diverges from median publishedHR (2.970) by |Δlog|=0.65"
P1,R06,ESD_VS_EMR_EARLY_GI_NMA_REVIEW,review,,"Random-effects log-OR pool (5.361, k=10) diverges from median publishedHR (1.380) by |Δlog|=1.36"
P1,R06,FCRN_AGONIST_BROAD_NMA_REVIEW,review,,"Random-effects log-OR pool (4.359, k=10) diverges from median publishedHR (1.880) by |Δlog|=0.84"
P1,R06,FENFLURAMINE_SEIZURE_REVIEW,review,,"Random-effects log-OR pool (9.113, k=3) diverges from median publishedHR (5.400) by |Δlog|=0.52"
P1,R06,FGFR_INHIBITORS_SOLID_REVIEW,review,,"Random-effects log-OR pool (1.141, k=2) diverges from median publishedHR (0.417) by |Δlog|=1.01"
P1,R06,GERD_PCAB_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (2.769, k=10) diverges from median publishedHR (1.160) by |Δlog|=0.87"
P1,R06,GLOMERULONEPHRITIS_BIOLOGICS_REVIEW,review,,"Random-effects log-OR pool (3.107, k=10) diverges from median publishedHR (1.770) by |Δlog|=0.56"
P1,R06,GVHD_NEW_AGENTS_REVIEW,review,,"Random-effects log-OR pool (1.619, k=4) diverges from median publishedHR (0.750) by |Δlog|=0.77"
P1,R06,GnRH_ANTAGONISTS_GYN_REVIEW,review,,"Random-effects log-OR pool (10.840, k=9) diverges from median publishedHR (3.700) by |Δlog|=1.07"
P1,R06,HAE_PROPHYLAXIS_REVIEW,review,,"Random-effects log-OR pool (0.177, k=9) diverges from median publishedHR (0.560) by |Δlog|=1.15"
P1,R06,HBV_FUNCTIONAL_CURE_REVIEW,review,,"Random-effects log-OR pool (14.586, k=10) diverges from median publishedHR (7.440) by |Δlog|=0.67"
P1,R06,HCC_LOCAL_THERAPY_NMA_REVIEW,review,,"Random-effects log-OR pool (0.446, k=10) diverges from median publishedHR (0.770) by |Δlog|=0.55"
P1,R06,HCV_DAA_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (9.241, k=9) diverges from median publishedHR (1.060) by |Δlog|=2.17"
P1,R06,HEMODIALYSIS_AV_ACCESS_DCB_NMA_REVIEW,review,,"Random-effects log-OR pool (3.091, k=10) diverges from median publishedHR (1.630) by |Δlog|=0.64"
P1,R06,HEMOPHILIA_FACTOR_PROPHYLAXIS_REVIEW,review,,"Random-effects log-OR pool (0.178, k=8) diverges from median publishedHR (0.320) by |Δlog|=0.58"
P1,R06,HEMOPHILIA_GENE_THERAPY_REVIEW,review,,"Random-effects log-OR pool (23.594, k=3) diverges from median publishedHR (0.130) by |Δlog|=5.20"
P1,R06,HEMOPHILIA_NEW_AGENTS_NMA_REVIEW,review,,"Random-effects log-OR pool (0.179, k=10) diverges from median publishedHR (0.360) by |Δlog|=0.70"
P1,R06,HEPATITIS_HCV_DAA_REVIEW,review,,"Random-effects log-OR pool (135.176, k=2) diverges from median publishedHR (1.190) by |Δlog|=4.73"
P1,R06,HEP_D_BULEVIRTIDE_NMA_REVIEW,review,,"Random-effects log-OR pool (7.552, k=10) diverges from median publishedHR (3.750) by |Δlog|=0.70"
P1,R06,HIV_ART_FIRSTLINE_REVIEW,review,,"Random-effects log-OR pool (1.985, k=2) diverges from median publishedHR (1.120) by |Δlog|=0.57"
P1,R06,HYPERKALEMIA_K_BINDER_NMA_REVIEW,review,,"Random-effects log-OR pool (7.596, k=9) diverges from median publishedHR (2.140) by |Δlog|=1.27"
P1,R06,IL_PSORIASIS_NMA_REVIEW,review,,"Random-effects log-OR pool (26.079, k=18) diverges from median publishedHR (74.830) by |Δlog|=1.05"
P1,R06,ITP_NEW_AGENTS_REVIEW,review,,"Random-effects log-OR pool (9.650, k=9) diverges from median publishedHR (5.760) by |Δlog|=0.52"
P1,R06,JAKI_AD_REVIEW,review,,"Random-effects log-OR pool (13.219, k=4) diverges from median publishedHR (7.430) by |Δlog|=0.58"
P1,R06,JAK_RA_REVIEW,review,,"Random-effects log-OR pool (3.449, k=12) diverges from median publishedHR (1.740) by |Δlog|=0.68"
P1,R06,LU_PSMA_MCRPC_REVIEW,review,,"Random-effects log-OR pool (0.242, k=2) diverges from median publishedHR (0.430) by |Δlog|=0.57"
P1,R06,LYMPHOMA_BISPECIFIC_CD20_REVIEW,review,,"Random-effects log-OR pool (1.935, k=3) diverges from median publishedHR (0.690) by |Δlog|=1.03"
P1,R06,MASH_DRUGS_REVIEW,review,,"Random-effects log-OR pool (3.293, k=10) diverges from median publishedHR (1.910) by |Δlog|=0.54"
P1,R06,MASTOCYTOSIS_NEW_NMA_REVIEW,review,,"Random-effects log-OR pool (5.188, k=2) diverges from median publishedHR (2.710) by |Δlog|=0.65"
