severity,code,review,scope,ncts,message
P2,T03,ADHD_NEW_NMA_REVIEW,trial,NCT04566549,PMID '37937770F' not 6-9 digit format
P2,T03,ADHD_NEW_NMA_REVIEW,trial,NCT04546334,PMID '37937770G' not 6-9 digit format
P2,T03,ADHD_NEW_NMA_REVIEW,trial,NCT04546321,PMID '37937770G' not 6-9 digit format
P2,T03,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,trial,NCT04394741,PMID '37937775c' not 6-9 digit format
P2,T03,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,trial,NCT04345367,PMID '37937775d' not 6-9 digit format
P2,T03,AD_PEDIATRIC_BIOLOGIC_NMA_REVIEW,trial,NCT04195814,PMID '37937775e' not 6-9 digit format
P2,T03,ALS_NEW_AGENTS_NMA_REVIEW,trial,NCT01285583,PMID '28522181b' not 6-9 digit format
P2,T03,BIPOLAR_DEPRESSION_NEW_NMA_REVIEW,trial,NCT02600494,PMID '33112458b' not 6-9 digit format
P2,T03,BISPECIFIC_LYMPHOMA_NMA_REVIEW,trial,NCT03075696,PMID '35443107b' not 6-9 digit format
P2,T03,BISPECIFIC_LYMPHOMA_NMA_REVIEW,trial,NCT03888105,PMID '37937795c' not 6-9 digit format
P2,T03,BLADDER_NMIBC_NEW_NMA_REVIEW,trial,NCT03635710,PMID '37937770H' not 6-9 digit format
P2,T03,BLADDER_NMIBC_NEW_NMA_REVIEW,trial,NCT04165116,PMID '37937770I' not 6-9 digit format
P2,T03,CARDIAC_LBBP_CRT_NMA_REVIEW,trial,NCT03734991,PMID '37224519b' not 6-9 digit format
P2,T03,CAR_T_LBCL_BROAD_NMA_REVIEW,trial,NCT04088890,PMID '37937770E' not 6-9 digit format
P2,T03,CHOLANGIO_TARGETED_NMA_REVIEW,trial,NCT04256980,PMID '37937795b' not 6-9 digit format
P2,T03,CHRONIC_COUGH_REFRACTORY_NMA_REVIEW,trial,NCT03449134,PMID '37937770J' not 6-9 digit format
P2,T03,CHRONIC_COUGH_REFRACTORY_NMA_REVIEW,trial,NCT03449147,PMID '37937770K' not 6-9 digit format
P2,T03,CHRONIC_COUGH_REFRACTORY_NMA_REVIEW,trial,NCT04562155,PMID '37937770L' not 6-9 digit format
