severity,code,review,scope,ncts,message
P2,T03,CMV_HCT_LETERMOVIR_NMA_REVIEW,trial,NCT05000580,PMID '37937770u' not 6-9 digit format
P2,T03,COMPLEMENT_C5_BROAD_NMA_REVIEW,trial,NCT04432584,PMID '37938042b' not 6-9 digit format
P2,T03,CONGENITAL_ADRENAL_HYPER_NMA_REVIEW,trial,NCT04490915,PMID '37937770C' not 6-9 digit format
P2,T03,CONGENITAL_ADRENAL_HYPER_NMA_REVIEW,trial,NCT04806971,PMID '37937770D' not 6-9 digit format
P2,T03,DEPRESSION_PSYCHEDELIC_NMA_REVIEW,trial,NCT03775200,PMID '36322843b' not 6-9 digit format
P2,T03,DEPRESSION_PSYCHEDELIC_NMA_REVIEW,trial,NCT04030964,PMID '38064689b' not 6-9 digit format
P2,T03,DRUG_RESISTANT_HTN_NEW_NMA_REVIEW,trial,NCT05195099,PMID '37245232b' not 6-9 digit format
P2,T03,DRUG_RESISTANT_HTN_NEW_NMA_REVIEW,trial,NCT04866043,PMID '32200752b' not 6-9 digit format
P2,T03,EGPA_BIOLOGIC_NMA_REVIEW,trial,NCT04157348,PMID '37937770l' not 6-9 digit format
P2,T03,ENDOMETRIOSIS_NEW_GNRH_NMA_REVIEW,trial,NCT03654274,PMID '37937760c' not 6-9 digit format
P2,T03,ENDOMETRIOSIS_NEW_GNRH_NMA_REVIEW,trial,NCT04244175,PMID '37937760d' not 6-9 digit format
P2,T03,ENDOMETRIOSIS_NEW_GNRH_NMA_REVIEW,trial,NCT04244162,PMID '37937760e' not 6-9 digit format
P2,T03,ESD_VS_EMR_EARLY_GI_NMA_REVIEW,trial,NCT01985295,PMID '32945740b' not 6-9 digit format
P2,T03,GERD_PCAB_NEW_NMA_REVIEW,trial,NCT03491293,PMID '37937770t' not 6-9 digit format
P2,T03,HAP_VAP_NEW_ABX_NMA_REVIEW,trial,NCT03894046,PMID '37196733b' not 6-9 digit format
P2,T03,HBV_NEW_AGENTS_NMA_REVIEW,trial,NCT04449029,PMID '37937770x' not 6-9 digit format
P2,T03,HBV_NEW_AGENTS_NMA_REVIEW,trial,NCT04792749,PMID '37937770y' not 6-9 digit format
P2,T03,HBV_NEW_AGENTS_NMA_REVIEW,trial,NCT04781647,PMID '37937770z' not 6-9 digit format
P2,T03,HCC_LOCAL_THERAPY_NMA_REVIEW,trial,NCT03778957,PMID '37937770w' not 6-9 digit format
P2,T03,HEP_D_BULEVIRTIDE_NMA_REVIEW,trial,NCT03852719,PMID '37937770d' not 6-9 digit format
P2,T03,HEP_D_BULEVIRTIDE_NMA_REVIEW,trial,NCT04129554,PMID '37937770e' not 6-9 digit format
P2,T03,HOT_FLASH_NK3R_BROAD_NMA_REVIEW,trial,NCT04003142,PMID '37178735b' not 6-9 digit format
P2,T03,HOT_FLASH_NK3R_BROAD_NMA_REVIEW,trial,NCT05373368,PMID '39167413b' not 6-9 digit format
P2,T03,HYPOFRAC_BREAST_RT_NMA_REVIEW,trial,NCT00107029,PMID '37000613b' not 6-9 digit format
P2,T03,HoFH_LIPID_NEW_NMA_REVIEW,trial,NCT04269499,PMID '37937770e' not 6-9 digit format
P2,T03,ICH_MIS_HEMATOMA_NMA_REVIEW,trial,NCT02880878,PMID '38597274b' not 6-9 digit format
P2,T03,INSOMNIA_DORA_NMA_REVIEW,trial,NCT01097616,PMID '30923135b' not 6-9 digit format
P2,T03,INSOMNIA_DORA_NMA_REVIEW,trial,NCT04550835,PMID '33089336b' not 6-9 digit format
P2,T03,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT03731260,PMID '37937770c' not 6-9 digit format
P2,T03,MASTOCYTOSIS_NEW_NMA_REVIEW,trial,NCT04695431,PMID '37937770d' not 6-9 digit format
P2,T03,MPOX_VACCINE_NMA_REVIEW,trial,NCT05480488,PMID '37937770o' not 6-9 digit format
P2,T03,MR_FUS_TREMOR_NMA_REVIEW,trial,NCT05000338,PMID '37937770n' not 6-9 digit format
P2,T03,MYOPIA_PROGRESSION_NMA_REVIEW,trial,NCT03333512,PMID '37937770p' not 6-9 digit format
P2,T03,MYOPIA_PROGRESSION_NMA_REVIEW,trial,NCT03334253,PMID '37937770q' not 6-9 digit format
P2,T03,NEUROENDOCRINE_PITUITARY_NMA_REVIEW,trial,NCT03697109,PMID '37937775b' not 6-9 digit format
P2,T03,NF1_MEKi_NMA_REVIEW,trial,NCT03962543,PMID '37937770m' not 6-9 digit format
P2,T03,NICOTINE_CYTISINICLINE_NMA_REVIEW,trial,NCT04287086,PMID '33872649b' not 6-9 digit format
P2,T03,NICOTINE_CYTISINICLINE_NMA_REVIEW,trial,NCT05116150,PMID '37937770k' not 6-9 digit format
P2,T03,NORMOTHERMIC_TRANSPLANT_NMA_REVIEW,trial,NCT02584283,PMID '37937770A' not 6-9 digit format
P2,T03,OSA_BROAD_NEW_NMA_REVIEW,trial,NCT05412017,PMID '38869420b' not 6-9 digit format
P2,T03,POSTOP_PAIN_NEW_NMA_REVIEW,trial,NCT04610996,PMID '37937770f' not 6-9 digit format
P2,T03,POSTOP_PAIN_NEW_NMA_REVIEW,trial,NCT05553197,PMID '37937770g' not 6-9 digit format
P2,T03,POSTPARTUM_HEMORRHAGE_NEW_NMA_REVIEW,trial,NCT02817360,PMID '37937770B' not 6-9 digit format
P2,T03,PRESBYOPIA_NEW_NMA_REVIEW,trial,NCT04195477,PMID '35283874b' not 6-9 digit format
P2,T03,PRESBYOPIA_NEW_NMA_REVIEW,trial,NCT04918811,PMID '37937770r' not 6-9 digit format
P2,T03,PROTON_RADIOTHERAPY_NMA_REVIEW,trial,NCT01193049,PMID '37937770v' not 6-9 digit format
P2,T03,ROP_ANTI_VEGF_NMA_REVIEW,trial,NCT05000490,PMID '37937770s' not 6-9 digit format
P2,T03,RSV_PROPHY_INFANT_BROAD_NMA_REVIEW,trial,NCT03959488,PMID '35020983b' not 6-9 digit format
P2,T03,RSV_PROPHY_INFANT_BROAD_NMA_REVIEW,trial,NCT05229328,PMID '37937770b' not 6-9 digit format
P2,T03,SCHIZO_NEW_AGENTS_BROAD_NMA_REVIEW,trial,NCT04738123,PMID '37937760b' not 6-9 digit format
P2,T03,TB_BPaL_NEW_NMA_REVIEW,trial,NCT02754765,PMID '37937770i' not 6-9 digit format
P2,T03,TB_BPaL_NEW_NMA_REVIEW,trial,NCT05000295,PMID '37937770j' not 6-9 digit format
P2,T03,VT_ABLATION_NEW_NMA_REVIEW,trial,NCT05000285,PMID '37937770h' not 6-9 digit format
