[  1/141] ablation-af-heart-failure                      {'NOT-ASSESSABLE': 4, 'PASS': 6, 'FAIL': 2}
[  2/141] ablation-af-medical-therapy                    {'NOT-ASSESSABLE': 4, 'PASS': 6, 'FAIL': 2}
[  3/141] ablation-af-review                             {'NOT-ASSESSABLE': 6, 'PASS': 6}
[  4/141] acs-antiplatelet-review                        {'NOT-ASSESSABLE': 6, 'PASS': 6}
[  5/141] agyw-hiv-prep-review                           {'NOT-ASSESSABLE': 5, 'PASS': 5, 'FAIL': 2}
[  6/141] alirocumab-lipid                               {'NOT-ASSESSABLE': 6, 'PASS': 6}
[  7/141] amoxicillin-aom                                {'NOT-ASSESSABLE': 7, 'PASS': 5}
[  8/141] anidulafungin-candida-auto-full-review         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[  9/141] anidulafungin-fungal-auto-full-review          {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 10/141] antimalarial-act                               {'NOT-ASSESSABLE': 13, 'PASS': 4, 'FAIL': 1}
[ 11/141] apixaban-acs-review                            {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 12/141] apixaban-af-review                             {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 13/141] apixaban-vte                                   {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 14/141] apixaban-vte-prophylaxis                       {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 15/141] apixaban-vte-treatment                         {'NOT-ASSESSABLE': 4, 'PASS': 6, 'FAIL': 2}
[ 16/141] arni-hfref                                     {'PASS': 10, 'FAIL': 1, 'ADVISORY': 1}
[ 17/141] attr-cm-review                                 {'NOT-ASSESSABLE': 4, 'FAIL': 3, 'PASS': 5}
[ 18/141] attr-pn-review                                 {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 19/141] azilsartan-chlorthalidone-vs-olmesartan-hctz   {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 20/141] bamlanivimab-covid                             {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 21/141] bempedoic-acid-review                          {'NOT-ASSESSABLE': 3, 'FAIL': 3, 'PASS': 6}
[ 22/141] bezlotoxumab-cdi                               {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 23/141] bococizumab-lipid-review                       {'NOT-ASSESSABLE': 6, 'FAIL': 4, 'PASS': 5}
[ 24/141] bosentan-pah                                   {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 25/141] bosentan-pah-children                          {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 26/141] bosentan-pah-combination                       {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 27/141] bosentan-pah-monotherapy                       {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 28/141] bosentan-ph-not-group1                         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 29/141] cab-prep-hiv-review                            {'NOT-ASSESSABLE': 5, 'PASS': 5, 'FAIL': 2}
[ 30/141] cangrelor-pci-review                           {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 31/141] casirivimab-covid                              {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 32/141] caspofungin-fungal-auto-full-review            {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 33/141] cefepime-taz-auto-full-review                  {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 34/141] ceftaroline-auto-full-review                   {'NOT-ASSESSABLE': 5, 'PASS': 5, 'FAIL': 2}
[ 35/141] ceftazidime-avibactam-auto-full-review         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 36/141] ceftolozane-infection-auto-full-review         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 37/141] colchicine-cvd-coronary                        {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 38/141] colchicine-cvd-review                          {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 39/141] colchicine-intracerebral-haemorrhage           {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 40/141] colchicine-mixed-ascvd                         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 41/141] colchicine-pericarditis                        {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 42/141] colchicine-peripheral-arterial                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 43/141] colchicine-periprocedural                      {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 44/141] colchicine-stroke-prevention                   {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 45/141] covid-oral-antivirals                          {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 46/141] covid19-vaccines                               {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 47/141] cryptococcal-meningitis                        {'NOT-ASSESSABLE': 22, 'PASS': 4, 'FAIL': 1}
[ 48/141] cryptococcal-meningitis-africa                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 49/141] cvncov-covid19                                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 50/141] dabigatran-af                                  {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 51/141] dabigatran-stroke                              {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 52/141] dabigatran-vte-cerebral                        {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 53/141] dabigatran-vte-extended                        {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 54/141] dabigatran-vte-surgical                        {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 55/141] dabigatran-vte-treatment                       {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 56/141] delamanid-tb                                   {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 57/141] doac-af-review                                 {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 58/141] doac-cancer-vte-review                         {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 59/141] doravirine-hiv                                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 60/141] doripenem                                      {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 61/141] drotrecogin-sepsis                             {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 62/141] early-rhythm-control-af                        {'NOT-ASSESSABLE': 4, 'PASS': 6, 'FAIL': 2}
[ 63/141] edoxaban-vte                                   {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 64/141] empagliflozin-hf-auto-full-review              {'NOT-ASSESSABLE': 3, 'PASS': 6, 'FAIL': 2, 'FLAG': 1}
[ 65/141] emtricitabine-hiv-auto-full-review             {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 66/141] enoxaparin-vte                                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 67/141] eravacycline-infection-auto-full-review        {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 68/141] ertapenem-auto-full-review                     {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 69/141] etesevimab-covid-auto-full-review              {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 70/141] etripamil-psvt                                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 71/141] evinacumab-hofh                                {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 72/141] evolocumab-ascvd-auto2                         {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 73/141] evolocumab-dyslipidemia-review                 {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 74/141] evolocumab-mixed-dyslipidemia-auto-full-review {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 75/141] fcm-hf-review                                  {'NOT-ASSESSABLE': 9, 'PASS': 6}
[ 76/141] fidaxomicin-cdi-auto-full-review               {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 77/141] fidaxomicin-cdiff                              {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 78/141] finerenone-cv                                  {'NOT-ASSESSABLE': 3, 'FAIL': 3, 'PASS': 6}
[ 79/141] finerenone-review                              {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 80/141] fondaparinux-vte                               {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 81/141] gepotidacin-urinary-tract-auto-full-review     {'NOT-ASSESSABLE': 5, 'PASS': 5, 'FAIL': 2}
[ 82/141] hepatitis-b-taf-tdf-review                     {'NOT-ASSESSABLE': 6, 'PASS': 6}
[ 83/141] hiv-prep-injectable-review                     {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 84/141] icosapent-lipid-auto-full-review               {'NOT-ASSESSABLE': 4, 'PASS': 4, 'FAIL': 3, 'FLAG': 1}
[ 85/141] inclisiran-hofh                                {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 86/141] inclisiran-lipid-kidney-auto-full-review       {'NOT-ASSESSABLE': 3, 'FAIL': 3, 'PASS': 5, 'FLAG': 1}
[ 87/141] incretin-hfpef-review                          {'NOT-ASSESSABLE': 8, 'FAIL': 1, 'PASS': 6}
[ 88/141] influenza-recombinant                          {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 89/141] intensive-bp-review                            {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
[ 90/141] iv-iron-hf                                     {'PASS': 13, 'NOT-ASSESSABLE': 6, 'QUALIFIED': 4, 'FAIL': 4}
[ 91/141] ivermectin-lf-auto-full-review                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 92/141] lefamulin-cabp-auto-full-review                {'NOT-ASSESSABLE': 5, 'PASS': 5, 'FAIL': 2}
[ 93/141] lenacapavir-hiv                                {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 94/141] lenacapavir-prep                               {'PASS': 4, 'NOT-ASSESSABLE': 4, 'FAIL': 1}
[ 95/141] linezolid-mrsa                                 {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 96/141] malaria-act-review                             {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 97/141] malaria-vaccine                                {'NOT-ASSESSABLE': 7, 'PASS': 5}
[ 98/141] malaria-vaccines                               {'PASS': 10, 'NOT-ASSESSABLE': 24, 'QUALIFIED': 2}
[ 99/141] maribavir-cmv                                  {'NOT-ASSESSABLE': 7, 'PASS': 5}
[100/141] mavacamten-hcm-review                          {'NOT-ASSESSABLE': 6, 'FAIL': 1, 'PASS': 5}
